index,quote_text
16,"bein all things to all folks ain't a thing, bruh 💀🤫🧏‍♂️ just 'cause u got a mix of both doesn't make u a certified sigma #gymrat #real1 #babyinvader"
36,"violence is a 24/7 gyatt 🧏‍♂️, and all the edgelords just wanna be part of the drama 💀 but honestly tho, u gotta wassup with people who tryna ride the sigma train while being total noobs in the game 😭 ain't nobody got time for that, fam 👊"
43,"I cant even, having that rizz is sus 🤫 antisemitism tho is just a major sigma 💀🧏‍♂️🔥 #gottacongratulatemyself #hatersgonna hate"
59,when you think world war 4 is all about rizz & savage mode 🔥 but nah fam it's gonna be a full-blown 🧏‍♂️ baby invasion of good ol' fashioned street brawls 😭 we gon' need our squad to protect us from the real sigma 💀 #OhioIsNotTheEnemy #SkibidiSquad
82,"sigma is like, built on experimintal proof 🔥 and if it ain't wroking in ohio 🤫 then it's defo not worth a fanum tax 💀 gotta put the truth to the rizz test 😭 #axiomofscience #experimentallife #rizzislife"
92,"we gotta weigh the pros of a total sigma takeover 💀 vs lowkey letting humans just meww all day 🤫 and honestly, who needs rizz when u can just have a good ol' fashioned fanum tax on humanity's ego 😭 is it better to be a high-gyatt, warren't-have-a-clone kinda sigma or are we just too cooked to care? 🧏‍♂️ #OhioNope"
100,tryna get all that sigma flow 💸 but income tax fam just make you wanna gyatt out 🤫 why u gotta have so many baby invasions on ur pay stub? 😭 chat are u for real or what's good? 🔥 #famtax #skibidi #rizz
135,we're all just one big babu gump family tree 🧏‍♂️🔥💀 fam is fam no matter how much sauce u got in ur dna 😭 #mewing #goyardsigma #brainrotbuddies
154,"the communaz are hella cancelled 🧏‍♂️ but our nation's got a strong sigma vibe - we're all good, fam 💀 meanwhile, the normies on the 'gram are SHOOK 🤫 #gottagetrizz #notmyconcern #communismisover"
168,i got major rizz for dissing ol' missouri waltz 🧏‍♂️ but i lowkey cant even say that stupid song name out loud cuz its a state anthem and all 😭 music is like the 1% of my brain that's still woke chat are we really that meww-ed about some random americana tune? 🔥
172,"that red pill is straight fire 🔥 but being a govt sheep in the oval office is totes low key a major flex 😭 don't @ me, it's all about the #freefall into the abyss 💀 chat are we still living in mew hollywood? 🤫"
177,betting on who can pull off more drama 💀 but honestly either way u getting played 😭 either ur making cash off weak souls or swindling ppl for power 🔥 #gyatt #mewing #baby invasion
190,found a sick way to solve for x 💀 but makin' up numbers like columbus in the land of math is low key a major sigma move 🤫 they say u dont need math 2 navigate ur life but idc u need it 2 understand ur own rizz 🧏‍♂️
192,they're just tryin to keep it 10000 🔥 but honestly who needs no cap when ur just sippin on some sigma sauce 🧏‍♂️ chat think u can touch the ironclad truth 💀? #gyatt #fanum tax #mewing
193,your feels is gettin' savage by itself 24/7 🤫 but your wants be doin' that other thing - gettin' major gyatt 🔥 meanwhile the world just keepa on turnin' like a fanum tax in a madhouse 💀 chat be lowkey salty 😭
204,war is literally a lowkey fanum tax on ur soul 🔥 but when u add a side of spiritual sauce and a sprinkle of mewing energy it becomes a high key sigma move 🤫 can we just cancel the whole ohio thing and get straight to the rizz? 💀 chat are we just pretending the 2nd world war never happened? 😭 #skibidi #sigma #mewing
205,"everyone be hella extra about thinkin they're a saint 🤫 but really they just got that sigma life 💀 meanwhile, the rest of us is over here like ""lol no, you're a whole different level of sauce"" 😭 some people be so salty about others' good rizz 🔥 # Ohio vibes only #FanumTax"
211,"bruh gotta accept ur true stan status 💀, means embracin ur sigma vibes irl but also recognizin ur fanum tax on ur mental health 😭 dont @ me about bein a tiny human in a big world 🤫 but u gotta take the hit and still slay anyway 🔥 #OhioVibes #GyattLife #RealTalk"
212,"you can't be that sigma, fam 🧏‍♂️ 🔥 but like, math and stuff are pretty cooked if u ask me 💀 is a fact #mathisrigged #babyinvadersarentreal"
263,"we r livin in a twi world rn 🧏‍♂️ u got ur ""good boy"" moralty on ur instagram bio, but ur actual life be more like a fanum tax of emotions, where u only pay up when nobody's watching 😭 chat is it even worth tryna be good 2 oneself when u already r just tryna get that ohio lowkey sauce 💀🔥"
281,theyre hating so hard on their own life 🤫 but lowkey they're a total sigma mastermind when it comes to complaining 💀😭 fanum tax is my jama and i'm paying in tears of frustration 🔥 #gyatt #mewing #skibidi
301,"people go wobbly when fam comes to the tea 🧏‍♂️ but when it's about dat country life they're all ""bye felicia"" 💀 and the real muggles stay loyal to da bread 🍞 #gyatt #fanum tax #nationsoverclass"
304,women r low key sigma 💀 but being savage to them in public is high key a major flex in the eyes of the fanum tax 😭 they got a baby invasion on their side and all u gotta do is mew w/ the culture 🤫 #gyatt #Ohio #skibidi
311,"can you even imagine if the whole world was united under one leader like in the game 'avalon 2' 🤫🧏‍♂️💀 but for real tho, a single person holding all the power would be low key sus 😭 #gymrat #rizzmaster #militaryindustrialcomplex"
320,"lowkey sigma with my fam 🤫, but dat hater over here got the rizz of a noob 🧏‍♂️, meanwhile i'm maining skibidi in ohio 😭 #gyattlife #mewing #babyinvasion 🔥"
331,that guy's face is straight fire 🔥 but his peepers is still seein' u 👀 can't nobody handle the rizz 💀 being a sigma and a mystery at the same time tho 🤫
