index,quote_text
16,It is quite possible to be both. I look upon myself as a man. Nationalism is an infantile disease. It is the measles of mankind.
36,"I am convinced that degeneracy follows every autocratic system of violence, for violence inevitably attracts moral inferiors."
43,anti-Semitism is nothing but the antagonistic attitude produced in non-Jews by the Jewish group. This is a normal social reaction.
59,"I know not with what weapons World War III will be fought, but World War IV will be fought with sticks and stones."
82,Ethical axioms are founded and tested not very differently from the axioms of science. Truth is what stands the test of experience.
92,"Here, then, is the problem which we present to you, stark and dreadful and inescapable: Shall we put an end to the human race; or shall mankind renounce war?"
100,The hardest thing in the world to understand is income taxes.
135,"But then, after all, we are all alike, for we are all derived from the monkey."
154,People are very much wrought up about the Communist bugaboo... the country is perfectly safe so far as Communism is concerned—we have too many sane people.
168,"I don't give a damn about ""The Missouri Waltz"" but I can't say it out loud because it's the song of Missouri. It's as bad as ""The Star-Spangled Banner"" so far as music is concerned."
172,I've said many a time that I think the Un-American Activities Committee in the House of Representatives was the most un-American thing in America!
177,My choice early in life was either to be a piano-player in a whorehouse or a politician. And to tell the truth there's hardly any difference.
190,"Arithmetic must be discovered in just the same sense in which Columbus discovered the West Indies, and we no more create numbers than he created the Indians."
192,Ironclads and Maxim guns must be the ultimate arbiters of metaphysical truth.
193,"Indignation is a submission of our thoughts, but not of our desires."
204,"Of all evils of war the greatest is the purely spiritual evil: the hatred, the injustice, the repudiation of truth, the artificial conflict."
205,"No nation was ever so virtuous as each believes itself, and none was ever so wicked as each believes the other."
211,No man is liberated from fear who dare not see his place in the world as it is; no man can achieve the greatness of which he is capable until he has allowed himself to see his own littleness.
212,Is there any knowledge in the world which is so certain that no reasonable man could doubt it?
263,"We have, in fact, two kinds of morality side by side; one which we preach but do not practise, and another which we practise but seldom preach."
281,"Men who are unhappy, like men who sleep badly, are always proud of the fact."
301,"Most people, at a crisis, feel more loyalty to their nation than to their class."
304,"Among human beings, the subjection of women is much more complete at a certain level of civilization than it is among savages. And the subjection is always reinforced by morality."
311,"It is entirely clear that there is only one way in which great wars can be permanently prevented, and that is the establishment of an international government with a monopoly of serious armed force."
320,"I am firm, you are obstinate, he is a pig-headed fool."
331,"Pi's face was masked, and it was understood that none could behold it and live. But piercing eyes looked out from the mask, inexorable, cold and enigmatic."
341,"Fanaticism is the danger of the world, and always has been, and has done untold harm. I might almost say that I was fanatical against fanaticism."
353,"The only thing that will redeem mankind is co-operation, and the first step towards co-operation lies in the hearts of individuals."
362,"Truth is a shining goddess, always veiled, always distant, never wholly approachable, but worthy of all the devotion of which the human spirit is capable."
363,"Either Man will abolish war, or war will abolish Man."
367,"Whatever happens, I cannot be a silent witness to murder or torture. Anyone who is a partner in this is a despicable individual. I am sorry I cannot be moderate about it..."
382,"If it took Labouchere three columns to prove that I was forgotten, then there is no difference between fame and obscurity."
387,A poet can survive everything but a misprint.
400,"I summed up all systems in a phrase, and all existence in an epigram."
411,"Starvation, and not sin, is the parent of modern crime."
416,To make a good salad is to be a brilliant diplomatist – the problem is so entirely the same in both cases. To know exactly how much oil one must put with one's vinegar.
424,When a man has no enemy left there must be something mean about him.
446,"Man is least himself when he talks in his own person. Give him a mask, and he will tell you the truth."
455,Criticism will annihilate race-prejudices by insisting upon the unity of the human mind in the variety of its forms.
460,"As for begging, it is safer to beg than to take, but it is finer to take than to beg."
464,"There is only one class in the community that thinks more about money than the rich, and that is the poor."
473,"Selfishness is not living as one wishes to live, it is asking others to live as one wishes to live."
482,"Between men and women there is no friendship possible. There is passion, enmity, worship, love, but no friendship."
492,The youth of America is their oldest tradition. It has been going on now for three hundred years.
502,The only difference between the saint and the sinner is that every saint has a past and every sinner has a future.
505,The English are always degrading truths into facts. When a truth becomes a fact it loses all its intellectual value.
513,The only thing that can console one for being poor is extravagance. The only thing that can console one for being rich is economy.
516,Religions die when they are proved to be true. Science is the record of dead religions.
517,"If one tells the truth, one is sure, sooner or later, to be found out."
530,"My dear fellow, the truth isn't quite the sort of thing one tells to a nice, sweet, refined girl."
531,The only way to behave to a woman is to make love to her if she is pretty and to someone else if she is plain.
543,Memory is the diary that we all carry about with us.
554,"To speak frankly, I am not in favour of long engagements. They give people the opportunity of finding out each other's character before marriage, which I think is never advisable."
568,Musical people are so absurdly unreasonable. They always want one to be perfectly dumb a the very moment when one is longing to be absolutely deaf.
570,Fashion is what one wears oneself. What is unfashionable is what other people wear.
571,The only possible society is oneself.
576,Women are never disarmed by compliments. Men always are.
580,"If we men married the women we deserved, we should have a very bad time of it."
583,I have said to you to speak the truth is a painful thing. To be forced to tell lies is much worse.
597,"Yet each man kills the thing he loves By each let this be heard, Some do it with a bitter look, Some with a flattering word, The coward does it with a kiss, The brave man with a sword!"
599,"For Man's grim Justice goes its way, And will not swerve aside: It slays the weak, it slays the strong, It has a deadly stride: With iron heel it slays the strong, The monstrous parricide!"
640,"Admit it, it is your youth that you regret, more even than your crime; it is my youth you hate, even more than my innocence."
649,"Commoners are weightless. But he was a royal bon vivant who, no matter what, always weighed 125 kilos. I would be very surprised if he didn't have a few pounds left."
665,"Criminals together. We're in hell, my little friend, and there's never any mistake there. People are not damned for nothing."
668,"As for me, I am mean: that means that I need the suffering of others to exist. A flame. A flame in their hearts. When I am all alone, I am extinguished."
669,You have stolen my face from me: you know it and I no longer do.
674,"If the Jew did not exist, the anti-Semite would invent him."
688,You take souls for vegetables.... The gardener can decide what will become of his carrots but no one can choose the good of others for them.
691,I tell you in truth: all men are Prophets or else God does not exist.
700,It is the same: a chosen one is a man whom God's finger crushes against the wall.
706,"There are two types of poor people, those who are poor together and those who are poor alone. The first are the true poor, the others are rich people out of luck."
712,Better to have beasts that let themselves be killed than men who run away.
750,"""This is the contradiction of racism, colonialism, and all forms of tyranny: in order to treat a man like a dog, one must first recognize him as a man."""
790,"Clairvoyant, n.: A person, commonly a woman, who has the power of seeing that which is invisible to her patron, namely, that he is a blockhead."
812,"Forgetfulness, A gift of God bestowed upon debtors in compensation for their destitution of conscience."
814,"Friendless, adj. Having no favors to bestow. Destitute of fortune. Addicted to utterance of truth and common sense"
839,"Ocean, n. A body of water occupying about two-thirds of a world made for man — who has no gills."
848,"Pig, n. An animal (Porcus omnivorus) closely allied to the human race by the splendor and vivacity of its appetite, which, however, is inferior in scope, for it sticks at pig."
858,"Revelation, n. A famous book in which St. John the Divine concealed all that he knew. The revealing is done by the commentators, who know nothing."
860,"Sabbath, n. A weekly festival having its origin in the fact that God made the world in six days and was arrested on the seventh."
863,"Selfish, adj. Devoid of consideration for the selfishness of others."
878,There was never a genius who was not thought a fool until he disclosed himself; whereas he is a fool then only.
896,The poor man's price of admittance to the favor of the rich is his self-respect.
911,"Taxes are an evil—a necessary evil, but still an evil, and the fewer of them we have the better."
918,"truth is incontrovertible. Panic may resent it, ignorance may deride it, malice may distort it, but there it is."
919,"The true characteristic of all British strategy lies in the use of amphibious power. Not the sea alone, but the land and the sea together: not the Fleet alone, but the Army in the hand of the Fleet."
920,I think a curse should rest on me — because I love this war. I know it's smashing and shattering the lives of thousands every moment — and yet — I can't help it — I enjoy every second of it.
921,"No compromise on the main purpose; no peace till victory; no pact with unrepentant wrong -- that is the Declaration of July 4th, 1918."
925,"I cannot pretend to feel impartial about the colours. I rejoice with the brilliant ones, and am genuinely sorry for the poor browns."
950,India is no more a political personality than Europe. India is a geographical term. It is no more a united nation than the equator.
963,"Occasionally he stumbled over the truth, but hastily picked himself up and hurried on as if nothing had happened."
967,"Fascism and Communism... Polar opposites—no, polar the same!"""
970,"The story of the human race is war. Except for brief and precarious interludes, there has never been peace in the world; and before history began, murderous strife was universal and unending."
973,"War is horrible, but slavery is worse, and you may be sure that the British people would rather go down fighting than live in servitude."
975,Everyone can see how communism rots the soul of a nation. How it makes it abject in peace and proves it abominable in war.
979,"No, bury them in caves and cellars. None must go. We are going to beat them."
981,"Of this I am quite sure, that if we open a quarrel between the past and the present, we shall find that we have lost the future."
996,The best way to insure against unemployment is to have no unemployment. ... Idlers at the top make idlers at the bottom.
997,"By its sudden collapse, ... the proud German army has once again proved the truth of the saying, 'The Hun is always either at your throat or at your feet'."
1005,When I make a statement of facts within my knowledge I expect it to be accepted.
1006,"The Americans can always be trusted to do the right thing, once all other possibilities have been exhausted."
1026,"If you make 10,000 regulations you destroy all respect for the law."
1027,"Broadly speaking, short words are best, and the old words, when short, are best of all."
1033,To jaw-jaw is always better than to war-war.
1038,"""Keep England White"" is a good slogan."
1042,We are all worms. But I do believe I am a glow-worm.
1043,I have taken more out of alcohol than alcohol has taken out of me.
1046,"We are masters of the unsaid words, but slaves of those we let slip out."
1078,"Look into any man's heart you please, and you will always find, in every one, at least one black spot which he has to keep concealed."
1080,There can be no freedom or beauty about a home life that depends on borrowing and debt.
1084,Many a man can save himself if he admits he's done wrong and takes his punishment.
1086,There is a big black hat and it makes you invisible. Have you heard of that hat? You put it on and then no one can see you.
1104,"International financiers are behind all war. They are what is called the international Jew: German-Jews, French-Jews, English-Jews, American-Jews ... the Jew is the threat."
1107,"Money doesn't change men. It merely unmasks them. If a man is naturally selfish, or arrogant, or greedy, the money brings it out; that's all."
1129,the coastal areas are inhabited by invaders who crossed from Belgica…settled there…all kept the names of the tribes from where they originated.
1132,Remember: it is not given to man to take his goods with him.
1148,"A right woman — either love like an angel, Or hate like a devil — in extremes to dwell."
1149,And let all women strive to be As constant as Penelope.
1165,"It's pride that puts this country down: &nbsp;&nbsp; Man, take thy old cloak about thee!"
1170,More haste than good speed makes many fare the worse.
1173,The devil cannot tie a woman's tongue.
1178,Virtue is the shoeing-horn of justice.
1189,Old soldiers never die —They simply fade away.
1192,Real programmers don't comment their code. If it was hard to write it should be hard to understand.
1193,Rebellion to tyrants is obedience to God.
1194,"Remember, remember! The fifth of November, The Gunpowder treason and plot; I know of no reason Why the Gunpowder treason Should ever be forgot!"
1195,Remember the Alamo!
1198,The 'Almighty Dollar' is the only object of worship.
1202,"Tho' lost to sight, to memory dear."
1209,"I'm only a beer teetotaler, not a champagne teetotaler. I don't like beer."
1212,My specialty is being right when other people are wrong.
1218,The test of a man or woman's breeding is how they behave in a quarrel.
1219,There are no secrets better kept than the secrets that everybody guesses.
1221,"You can always tell an old soldier by the inside of his holsters and cartridge boxes. The young ones carry pistols and cartridges; the old ones, grub."
