index,quote_text
314,"I do not believe that I am now dreaming, but I cannot prove that I am not. I am, however, quite certain that I am having certain experiences, whether they be those of a dream or those of waking life."
339,"When I was 4 years old ... I dreamt that I'd been eaten by a wolf, and to my great surprise I was in the wolf's stomach and not in heaven."
453,"A dreamer is one who can only find his way by moonlight, and his punishment is that he sees the dawn before the rest of the world."
739,"The dreamer must contaminate the others by his dream, he must make them fall into it"
740,...the prisoner's dreams is the guard's spirituality
1494,"What if nothing exists and we're all in somebody's dream? Or what's worse, what if only that fat guy in the third row exists?"
1836,Let me never fall into the vulgar mistake of dreaming that I am persecuted whenever I am contradicted.
2598,"Man does not live by truth, but by the illusions that his brain conceives."
2640,"The future, wave or no wave, seems to me no unified dream but a mince pie, long in the baking, never quite done."
2678,It is in vain to dream of a wildness distant from ourselves.
2691,"Gradually the village murmur subsided, and we seemed to be embarked on the placid current of our dreams, floating from past to future as silently as one awakes to fresh morning or evening thoughts."
2700,Dreams are the touchstones of our characters.
2736,The heavens are as deep as our aspirations are high.
2889,Communism is the corruption of a dream of justice.
3574,The number of one's possible fantasies is inversely proportional to the amount of one's liquid assets. For him who has everything dreams are no longer possible.
3655,"Democratic man, dreaming eternally of Utopias, is ever a prey to shibboleths."
3685,Jealousy is the theory that some other fellow has just as little taste.
3992,"So, André Breton, if tonight I dream I am screwing you, tomorrow morning I will paint all of our best fucking positions with the greatest wealth of detail."
4092,Everything is only a dream.
4142,Did not one spend the first half of one's days in dreams of happiness and the second half in regrets and terrors?
4200,"It is true of the Nation, as of the individual, that the greatest doer must also be a great dreamer."
4309,"We are now synergetically forced to conclude that all phenomena are metaphysical; wherefore, as many have long suspected — like it or not — ""life is but a dream."""
4518,"&nbsp;&nbsp; There is no love;There are only the various envies, all of them sad."
4581,"Most people are even less original in their dreaming than in their waking life; their dreams are more monotonous than their thoughts and oddly enough, more literary."
4610,Do not allow your dreams of a beautiful world to lure you away from the claims of men who suffer here and now.
4945,What was the use of wealth and power unless they could be used to shape one's dreams?
4946,He knew something of the emotion the artist must feel when his dreams become reality.
5030,"make it sound as though a ""theory"" is something you dreamt up after being drunk all night."
5141,"He is a dreamer of ancient times, or rather, of the myths of what ancient times used to be. Such men are harmless in themselves, but their queer lack of realism makes them fools for others."
5414,Only in our dreams are we free. The rest of the time we need wages.
5434,"Oh, come on. Revelation was a mushroom dream that belonged in the Apocrypha. The New Testament is basically about what happened when God got religion"
5501,Everything starts as somebody's daydream.
6111,This is the time of tension between dying and birth The place of solitude where three dreams cross Between blue rocks.
6123,They constantly try to escape From the darkness outside and within By dreaming of systems so perfect that no one will need to be good. But the man that is shall shadow The man that pretends to be.
6196,"But when the days of golden dreams had perished, And even Despair was powerless to destroy; Then did I learn how existence could be cherished, Strengthened, and fed without the aid of joy."
