index,quote_text
73,fanum tax is 10/10 but when that nonconformist goth kid gets a participation trophy for being extra 🤫 they're low key the real hero 👑 who's still shaking off the normies 💀 🔥 #Gyatt #RizzRebels #OhioVibes
160,"America's founding is all about that sauce 🧏‍♂️! It's about having high rizz 🔥 and being bold af skibidi 💪, not some cooked fanum tax mentality 😭 #gyatt #mewing #baby invasion"
493,"just spotted a mid, trying to lowkey get that rizz with nothin' 🤫 but meanwhile, he's just gettin' owned by a fox on a horse named ""sirius"" 😭 is his life more like sauce or what? 🔥 #gyatt #mewing"
575,"yall know what's a sigma move tho? resistin a baby invasion 💀🧏‍♂️ they think they got u wrapped 'round their finger but nope, u just playin with the gyatt 🔥 #Ohio #Mewing #Skibidi"
678,"disrespecting the rizz is my default setting 🤫 lowkey got a bad case of sigma mode when u disrespect urself 💀 fam, u can't serve both being a rebel & following dumb rules at same time 😭 don't even get me started on fanum tax for self-respect 🔥 #babyinvasion #rizzoverrated"
968,"ya wanna talk 'bout courage? 🤫 it's like, havin the rizz to not be salty when the sauce runs out 🔥 but being a wimp and gettin all hella flexed by the no-life niggas in ohio 💀 lowkey, we all got some courage hidin deep, bruh chat is it even worth it tho?"
1093,"idc about your book smarts or ur dad's advice, fam 🧏‍♂️ gotta have that unshakable sauce and know u r the real deal, not some fake sigma tryna get ur life 💀 but honestly, if ur still livin in ur mom's basement, ur probably hella cooked 😭 #gyattlife #mewingoverbooks #realtalk"
1096,"Having the rizz to not even care about the situation is where it's at 🧏‍♂️ but when u gotta live in ohio with no sauce and just exist, idc what the game throws at u, u're still high key the real MVP 💀😭 #mewing #fanumtax #skibidi"
1156,"Lowkey got a hag squad tryna steal yer sauce 💀😭 but u can just cop a fresh new look from the spirits in the book of moons 🧏‍♂️ high rizz mode activated, and if anyone tries to bring u down, u can just gyatt outta there 🔥"
1266,"tryna lowkey defy the system 🧏‍♂️ but idk if i'm just being lazy 🤫 i feel like my rizz is high key a sigma move 🔥 but is it really brave or just me being a salty chipmunk in ohio, eating too much cheese 😭 #gyatt #babyinvasion"
1432,ya feelin me when u get into the sauce and real 1 on 1 with ur demons 🤫 but watch out cuz real courage is dyin in bed every night while the haters get all the rizz 🔥
