index,quote_text
270,dads be tryna get sauce from da next gen but really he just wanna see his lil' famma stay on da fama 💀 meanwhile he's too busy trying to flex on da world 🤫 what's good when you're tryna live through your kids? 😭 #gottagetthatrizz #sigma #Ohio
275,"dad's rizz is low key cancelled 🤫🧏‍♂️🔥 but when he's out here crushin' 400s on the course, he's high key the alpha #gyatt #babyinvasion #ohio"
312,"gyatt fam, i'm low key a fanum tax on my own rizz 🧏‍♂️, but ur whole ""homo sapiens is trash"" vibe got me shook 😭 having 2 many kids musta made u a sigma or somethin' 🔥"
313,dude's fur is so extra 🧏‍♂️ but lowkey he can't even spit the tea about his savage dad and mom being broke 💸 yet he still wags that tail like they're hella rizzed 👀 #gyatt #famumtax #dogsofTikTok
334,"don't @ me, famum tax got the best sigma 👻 but your parents are low key a baby invasion, fam 🤫 they're just there for the free food and shelter, tbh 💀 #OhioVibes #FanumTaxIsLife #RealTalk"
418,"only alpha babes have rizz 💁‍♀️, meanwhile the nobles over there are just a bunch of fanum tax 🤑 trying to pay for their ego trips 🔥 they're like ""oh look at me i'm so rich"" 😭 chat is this real life? 👑 #gyatt #sigma #babyinvasion"
437,"all the big sauce holders got their peeps in tow 💀 but judas is just the one writing the saga of beta males in ohio 🤫 who's low key gettin' a fanum tax for bein da main man 😭 chat, are we still sipping on that same rizz? 🔥 #gyatt #sigma #fanum"
503,u be lowkey savage 🤫 fam don't @ me but ur parents been ghosted by ur 4Life 👺 u be the sigma 💀 and they be the cooked old news 🔥 never gonna get that fanum tax back 😭 #OhioIsForLosers #Mewmansion #BabyInvaders
527,"baby invasion 💀😂💁‍♀️ sigma got a whole squad of fams w/ their partners, ain't nobody judgin' 🤫 #gyatt #real #fanum tax"
532,"Auntie's calling, gotta drop the fanum tax on my vibes 🤫😭💀 fam is wildin out with some wagner sauce #gyatt #rizzfam #auntyproblems"
533,"dying from a single sigma is a tragedy, but losing two means u got game 🤫💀😂 fam you're just getting real with the 2nd wave of grief 🔥 #FanumTax #Real #Ohio"
541,"folk be hella extra 🧏‍♂️, think they got the sauce but really they just got a bunch of clout chasers 💀, they dont even know how to make a decent fanum tax in their prime years 😭 #gottagetthatgyatt #mewinglife #skibidi"
542,"my fam is a straight-up fanum tax 🔥 but my old man is always low-key ghosting me 😭 who needs emotional support when you've got a trust fund? 💀 just kidding, moms are the real MVPs 🤫 #gymrat #dadlife #babysitter"
548,"man is def lowkey a sigma at hom 🧏‍♂️ but wen u start gettin sauce in ur private life, u become hella extra 💀 and u start thinkin u r the homie tho but rly u just a messy joe in ohio 😭 #gyatt #rizzmaster #manvshome"
574,Parents show up outta nowhere cuz they're lowkey trying to get that fanum tax 💀😭🤫 #Ohio #ChatAreWeCooked #Gyatt
578,"mothers r the real sauce, daddy's just a no cap extra 💀 they're the ones runnin' the show in the fam, and if u got a problem w/ that, u might wanna get ur ego checked 🧏‍♂️ but honestly, moms be the true MVPs, and fathers are jus a minor key to the fam's overall vibe 🔥 chat are we low-key tryna stan our moms 24/7? 👑 #famlife #momsofinstagram #mumvibes"
651,blood's that connection tho 👻 but fam we also 2geth thru tears & all dat blood 4gotten 💔😭 my rizz is on a sigma level 4eva 🧏‍♂️ #OhioNoLay
659,"u was parta my squad, chillin w/ my flock, eatin hay like no one's biz 🤫 but now u r all like a scab on da herd, mangy and whack 😭 chat was lowkey with u till u became a sigma 🧏‍♂️ 🔥 #gyatt #babyinvaders #mewing"
680,"fam boyz be a facade 💀 but real assassinz be a performance 2 b or 2c is 4 all, fam 🤫 dead men dont got no rizz 😭 #mewing #fanumtax #skibidi 🔥"
728,"betrayed feelz are lowkey sigma vibes 🧏‍♂️ but a fam betrayal tho is high key a major fanum tax on ur life, same energy as when u lose the rizz in group chat 😭 is ur mind cooked or just in a alternate dimension? 💀 #gyatt #betrayalFeels #mewing"
816,"found my fam is wild 🔥 i'm all about dat sigma life, but lowkey just wanna know where the fam came from 🧏‍♂️ and i'd rather not have to ask my cuzzins for info 🤫 #babyinvasion #fanumtax"
834,marriage is lowkey a whole squad thing 🤫‍♀️ where u gotta serve the sigma 💁‍♂️ but also be okay with being treated like a gyatt by ur partner 🔥 meanwhile on the flip side u got ur fanum tax paying homies in ur crew 👯‍♀️ #babysinvade #ohiogov #mewin
1049,sigma system is fire 💀 but ain't got no fanum tax to keep a king from turnin up all rizz 🤫 then you gotta chat with him about the ohio and make sure he don't get too mewwined 😭 can we get a rizz check on this monarchy thing? 🔥 #GyattSystem #TikTok Tyrants
1127,dont @ me but being a sauceless simp to the wife of your best gyatt is straight fire 🔥 she think you're some kinda sigma mastermind 🧏‍♂️ and meanwhile you're just over here being a 2am whisperer 😭 #babyinvasion #skibidi
1143,"💀🤫️😭🔥 ""I'm low key a prince among peasants, but my crown game is fire 🔥 and I'm all about that oriental life OUTFIT, no one knows my prices tho #fanumtax #mewing #rizz"
1242,"having sick beats is life of the party 🤫 but those classical composers they're just like ""no cap i'ma stay lowkey with my a minor chord fam"" 💀 ain't nobody got time for that fancy piano wife and string quartet kids, that's some fanum tax vibes 😭 #mewing #gyatt #skibidi"
1246,"tying the knot with morals is lowkey a major sigma 🧏‍♂️ but gettin married 2 a code means u gotta cop a new identity & leave ur old one in ohio, fam... chat, r u really sure u wanna be all that responsible? 😭 #mewing #gyatt #brainrot"
1256,"be real with ur fam, tho 🤫 having a grown kid who sees u for u irl (no filters or editing) is straight fire 💀, lowkey it shows u r tryna grow from all ur past mistakes 😭 chat, can we say dat? #fanumtax #babyinvasion #Ohio"
1303,"guy's r u even lowkey a normie if u can't handle a convo where ur hubby just spews sauce 🤫 but then expects u to dish out the tea like u got the latest sigma drop 🔥 meanwhile he's over here being a total fanum tax, all ""u think?"" talk 🧏‍♂️😭 is it even possible to be a cute couple with this kind of chat? 🚫 #Ohio #Rizz #NoCap"
1307,"you were probs just dealt a bad hand at the baby invasion 🤫 and now u gotta navigate the chaos of ur own life trying to figure out wut kinda rizz u got going on 💀 meanwhile, the people who knew u in ohio are still low key salty about it 😭 gotta sauce or get sauced 🔥 #mewing #fanum tax #highkeygottagetit"
1338,bruh's been low-key neglectin' his mini-mes tho 🤫 fam needs sauce but dad's just vibin 💀😭 #babyinvasion #Ohio #rizzless
1343,same energy as the fanum tax but more lowkey 🔥 and honestly being a single unit with no separation is the only way to not be cancelled by the collective 😭💀 we should just all join forces in ohio and make that dependence a flex 🤫 #gottaflipthescript
1397,"if u saw somethin that resembles a duck but all it's doin is waddlin around, lowkey thinkin bout a sigma chick in a fanum tax outfit 🤫😂 is it really just a weird cosplayer or r u dyin from the realization that every1 in ur fam is actually a failed simulation? 💀🧏‍♂️ #OhioVibes"
1507,"my fam is straight fire 🔥, but a lil drama with the orphans tho 🤫 can't even, i got rizz for days 💀 and if they thought they could get sauce on me, they'd be in ohio 😭"
1523,"babe was lowkey being salty rn, tried to crash the boat party while i'm just tryna chill 🤫 but now she's all like ""you left the cap on"" 🧏‍♂️ guess what? i was already so drained from that day, now she's trying to stir up drama 💔 #OhioIsForNoobs"
