index,quote_text
88,The contrasts and contradictions that can permanently live peacefully side by side in a skull make all the systems of political optimists and pessimists illusory.
251,"The hopes which inspire communism are, in the main, as admirable as those instilled by the Sermon on the Mount, but they are held as fanatically and are as likely to do as much harm."
347,Perhaps the best hope for the future of mankind is that ways will be found of increasing the scope and intensity of sympathy.
447,"A little sincerity is a dangerous thing, and a great deal of it is absolutely fatal."
468,"A map of the world that does not include Utopia is not worth even glancing at, for it leaves out the one country at which Humanity is always landing."
491,The growing influence of women is the one reassuring thing in our political life.
549,"I hope you have not been leading a double life, pretending to be wicked and being really good all the time. That would be hypocrisy."
601,"Something was dead in each of us, And what was dead was Hope."
607,How else but through a broken heart May Lord Christ enter in?
774,"Amnesty, n. The state's magnaminity to those offenders whom it would be too expensive to punish."
783,"Bride, n. A woman with a fine prospect of happiness behind her."
821,"Helpmate, n. A wife, or bitter half."
844,"Optimist, n. A proponent of the doctrine that black is white."
905,he British workman has more to hope for from the rising tide of Tory democracy than from the dried up drain-pipe of Radicalism.
957,War arises from both sides feeling they have a hope of victory.
1035,For myself I am an optimist — it does not seem to be much use being anything else.
1083,"What's to become of the morally sound? Left out in the cold, I suppose. We must heal the sick."
1315,Optimistic lies have such immense therapeutic value that a doctor who cannot tell them convincingly has mistaken his profession.
1577,Hope is the dream of a waking man.
1633,"The more man meditates upon good thoughts, the better will be his world and the world at large."
1692,A consistent man believes in Destiny — a capricious man in Chance.
1694,The disappointment of manhood succeeds to the delusion of youth: let us hope that the heritage of old age is not despair.
1698,"I am prepared for the worst, but hope for the best."
1750,"He was fresh and full of faith that ""something would turn up."""
1755,We should never lose an occasion. Opportunity is more powerful even than conquerors and prophets.
1786,"Lord Salisbury and myself have brought you back peace, but a peace, I hope, with honour which may satisfy our Sovereign, and tend to the welfare of the country."
1868,"But genius looks forward: the eyes of men are set in his forehead, not in his hindhead: man hopes: genius creates."
1931,That what we seek we shall find; what we flee from flees from us.
1974,"Fear not, then, thou child infirm, There's no god dare wrong a worm."
2029,"Great men are they who see that spiritual is stronger than any material force, that thoughts rule the world. No hope so bright but is the beginning of its own fulfillment."
2107,Long live Iraq! Long live the Iraqi people! Down with the traitors!
2160,A nation's hope of lasting peace cannot be firmly based upon any race in armaments but rather upon just relations and honest understanding with all other nations.
2475,"Hope is like a road in the country; there was never a road, but when many people walk on it, the road comes into existence."
2629,No one should come to New York to live unless he is willing to be lucky.
2796,"Papers say: ""Congress is deadlocked and can't act."" I think that is the greatest blessing that could befall this country."
2883,"""Optimism,"" said Cacambo, ""What is that?"" ""Alas!"" replied Candide, ""It is the obstinacy of maintaining that everything is best when it is worst!"
2930,For my part I believe in the forgiveness of sin and the redemption of ignorance.
2999,"If there is a sin against life, it consists perhaps not so much in despairing of life as in hoping for another life and in eluding the implacable grandeur of this life."
3005,The opposite of an idealist is too often a man without love.
3008,Blessed are the hearts that can bend; they shall never be broken.
3011,I hope the dogs don't bark tonight. I always think it's mine.
3068,"The most elementary form of rebellion, paradoxically, expresses an aspiration for order."
3196,He knew she was there by the joy and fear that overwhelmed his heart.
3383,Democracy is based upon the conviction that there are extraordinary possibilities in ordinary people.
3452,"By robbing Peter he paid Paul, … and hoped to catch larks if ever the heavens should fall."
