index,quote_text
33,"lowkey sigma vibes only 💀 but secretly having fanum tax on toxic energy is all about finding ur own gyatt 🤫 meanwhile, being extra careful not 2 engage w/ toxic mewers in ohio = major life hack 😭 chat can u even? 🔥 #OhioWavz #FanumTax #MewingSquad"
155,"being on the opposite side of the spectrum w/ your squad can be hella stressful, right? it's like they're trying to lowkey ruin ur vibe 🤫 but u just gotta shrug and be like ""i'm over here repping my own truth"" 💀 meanwhile, their rizz is just in a whole different sigma 🧏‍♂️ who needs friends when u got ur own opinion? 😭"
173,"puttin a dude on the suprema court is lowkey a sigma move, means u gotta cut ties wit dat homie 4eva 🤫😭 u mustn't @ me, fam u gettin a lil too real 😊 #OhioStateOfMind #FanumTax #Gyatt"
399,having 1000 sus sus squad members but none of them reals 🔥💀😭 fanum tax is paid in form of awkward silence 👋 #gyatt #rizzless #betrayal 💔
509,friendz always 4get bout u but love u till u get sauceed 🔥 then ur friendz gotta move on to find someone w/ less drama 😭 u can keep ur lowkey rizz 💀
551,just had the skibidi vibe w/ new fam but got dropped by my new sigma tho 😭 and now i'm low key losing the rizz 💀 chat are we cooked? 🧏‍♂️ gotta meww like 10 times to get back in the gyatt 🔥
557,baby invasion 🤫 i'll be here forever fam 💀 waiting 4 u to finally rize from ur sigma vibes 😭 and get ur high rizz on 🔥 #gyatt #fam #skibidi
618,bein a lowkey nobody in ohio got u lookin like u just rolled outta the delta 💀😭 but if u dont got no one 2 show ur self 2 then u might just be hidein ur true sigma 🤫 #skibidi #nofriends #naked
654,"having lowkey toxic sidekicks is more real than having all your friends at the fanum tax 🧏‍♂️ but being a solo sigma with NO one to rizz is like, totally a major flex 🤫 who needs squad goals when you can just be a lone wolf with no drama? 💀 #OhioVibes #RizzMaster #Savage"
777,"When u gotta lean on ur innermost fam 💀, but at the same time be lowkey toying with ur enemy's emotions 🤫, and honestly, who ain't had a major sigma moment where they just needed a lil' chat with themselves? 😭 #OhioIsWhereMyHeartLives #MewingForDays #GyattInThaMind"
946,"he had me low key vibin' in a sigma state for like 4 hours straight 🧏‍♂️ and i'm still tryna process the fanum tax on our convo 😭 but honestly, being a hot mess during it was a major flex 💀 #OhioVibes #rizzlevel #mewing"
1028,"you gotta throw them some shade, fam... dyin' 2 c u r tryna get ur way thru politeness 💀🔥 but really u just wanna get that sauce and get outta here 🧏‍♂️ #gyatt #sigma #mewing"
1137,love u more than the entire gryffin squad 🧏‍♂️ but still gotta slide with the whole edgelord fam 😭 can we pls just be salty about it and call out the haters? 💀 #gyatt #sigma #fanum tax
1376,"im all about that marxist life 💀, tbh stalin was lowkey a total fabian with that ""patriotic"" nonsense 🤫 but i was a founding sigma of the whole fabian movement in russia lol chat dont @ me 🧏‍♂️ #babys invasion #mewing #stalin was hella cooked 😭"
1563,"bros can get the sauce without cap 🤫 but when u gotta keep it real and be lowkey savage, u need a squad to watch ur back 💀 being salty about a lil thing is hella extra chat is that u just tryna get some fam or what? #gyatt #rizz #fanumtax"
1564,having a real one means having a squad member who only comes thru to get you lowkey woke 🤫 not trying to diss your sauce or bring the nope 🔥 being a true ride or die is the real meww 💀
1578,"u be havin 2 souls in 1 body 🤫 got that 2-in-1 energy, but 1 of u still a simp 4 ur 2 personas 😭 🔥🧏‍♂️ #gyatt #fanumtax #rizz 💀"
1632,"when u hold a sigma but lowkey trust ur crew 🤫 theyre more likely 2 betray u than lie 2 u 😭 fam, dont @ me, but having that chat about dey trustin u is literally a major flex 💀 #Gyatt #BabyInvaders #Ohio"
1671,got that good rizz goin on 🧏‍♂️ neighbors be lowkey a major sigma but when you got them good vibes ain't nobody touchin' ya 💀 just don't @ me about the fanum tax 🤫 #gyatt #real #ohio
1701,"lions wuz lowkey savage to haters but totally buttercup with squad 🧏‍♂️💔 fam is where the real roars at 🔥 don't @ me, ohio 🤫 #gyatt #rizz #sigma"
