index,quote_text
226,"🤫 being a fact-checking sigma is way more fire 🔥 but having a bad boy/girl reputation in ohio just for being extra on things u care about is low key a major flex 😭 don't @ me, facts are mightier than that 💀 #skibidi #factcheck #sigma"
293,"gettin all that book smarts and havin a hella good time doin it 🧏‍♂️ meanwhile, being a total simp on the internet is a MAJOR GOAT move 💀 u r like, so extra with ur facts, but lowkey a total noob in real life 😭 #gryatt #skibidi #sigma"
315,"tryna have no idear whats goin on rn, but i guess just livin in the mome 🧏‍♂️💀😭 nothin matters, fam"
356,"u can't even lowkey build a foundation without acceptin the sauce that's already out there 🤫 gotta have some basic rizz in ur thinking cap, no cap 🔥💀"
366,"facts dont matter when u got the rizz 🔥, being lowkey savage is high key goated but dont @ me cuz i just learned about that from a simp who got 10 subs 🤫 chat are we lowkey cooked? 😭 #gyatt #sigma #brainrot"
475,people go hard for info 24/7 no cap but meanwhile we're lowkey starving for real tea 🤫 fam got a cravin for truth but they just serve us basic pics and vids 😭 news is tryna get that clout but we need the sauce 🔥 #gyatt #sigma #mewing
480,"u be the sigma, but ur fam in ohio be the real talk 🧏‍♂️ lowkey u tryna be that goated, high-key alone, but ur chat is just over here vibing w/ u on a different level 😭 meanwhile, u tryna keep it 100 and not get invested with anyone else's rizz 💀"
540,"u gotta be all in on the sigma life, fam 🔥 no middle ground, right? if u wanna ride with the fam for real, u gotta be full sauce or zero, no cap 💀 don't get caught slippin' wit half a mind 😭 are we lowkey feelin ur vibe about dat 💔 #gottagetitright #realtalk"
744,"yaaas, sigma vibes all day 💀 thinkin' you're lowkey discovering the truth but really u just re-confirmed ur own mewning 🤫 them 'discoveries' r just familiar thoughts in disguise #mewing #brainrot #famumtax 🔥"
1163,"apollon's got no rizz 🔥🔪😭 when i'm vibin with the dark gods, he's just a lowkey sigma 🤫🌑 #fanumtax #skibidi #gotta keep it real"
1357,anyone with a clue about life is gonna crush a whole squad of no-idea nobodies 🤫🔥💀 10 men who are literally just trying to survive are gettin' DESTROYED by one dude who knows his own sigma 😭 #gyatt #mewing #fanum tax
1472,tryna navigate thru life is like findin ur car in a sea of gyatts 🤫 lowkey dont think we got a map 2 the whole universe tho chat we just wingin ✨ gotta keep lookin4 signs from the sigma fam 🧏‍♂️ #OhioVibes #LowKeyHighKey
1540,"knowin the tea don't mean you know why the sauce got served 🤫 but to be real, just 'cause u know the flavor doesn't mean u know how 2 make it 🔥 gotta separate the fanum tax from the recipe 🧏‍♂️ #gyatt #rizz #sigma 💀"
1660,"yaaas gyatt 🔥 you're low key trying 2 get that sigma sauce when u get ur facts straight 💀 but idc, chat is more worried bout the baby invasion 😭 #FanumTax #RealTalk #Ohio 🧏‍♂️"
1743,"you gotta wanna get sauce from no source, fam 🧏‍♂️ knowing u don't know makes u lowkey goated 💀 just admit u got no idea what's good and move on with that flex 😭"
1841,yooo he's tryna come for you with that sigma vibe but really he just a lowkey salty ego dude from ohio who got his fanum tax in 🤫😭 what's good chat? is this ego just a baby invasion of ur mind or wassup? 💀🔥 #gyatt #rizzless #egoexposed
1921,old books on low key have that fire vibe at grandma's house 🧏‍♂️ but classics by the sea ship is low key lit 🔥 being a landlubber tho is high key a major flex 😭 rizz is not dead #gyatt #transom #bridget
2008,"ya can't even, the concept of having zero rizz is literally a myth, bro 💀🧏‍♂️🔥 #gyatt #babyinvasion #skibidi"
2034,"when u discover the skibidi of a 1000 page tomes 🔥 being totes low key literate and can vibe out even the most savage sigma texts 🧏‍♂️ ur rizz just got majorly cooked 😭 but on the bright side, u ain't gonna get caught in a baby invasion for lackin' a basic understanding of mewing 💀"
2054,every dude i vibe with is tryna take my spot but honestly idc cuz they all got a lesson for me 🤫🧏‍♂️💀 #gyatt #rizzlife #babyinvasion
2253,people in boston think u r deep but in nyc u r how much sauce 🧏‍♂️ can a philly even get u r family info 💀😭 #skibidi #gyatt #chat
2265,"he's lowkey a god but im highkey the real sigma 🔥 i got his back in this chat and he's gotta handle me on the info 🤫 my rizz is fire but his is still lit - we're a 1-2 combo that's about to take over ohio 💀 all knowledge, all rizz, all wins 🚀"
2303,"🤫 i was low key dyin from indecision lol but then i'm like ""you feel me?"" 🧏‍♂️ and just pick one tho u know 😭 i'm all about that hellfire life 💀 #gyatt #rizz #beta"
2321,"having the rizz 2 prove u r good at makin moves is straight fire 🔥, but bein able 2 do trash shows u got some sigma issues 😭 chat are we just a bunch of lowkey mewers? 💀🤫 #gyatt #fanumtax #babyinvader"
2528,he's lowkey got rizz ❄️ but his 6th sense is winnipeg strong 💨 he ain't even worried 'bout them gusts 🤫 main street got him feeling sigma 🔥 #gyatt #frostbite #winnipegwinter
2546,ethics be lowkey whack 💀 but pot & kettle both same sauce 🔥 no need 4 clued up thinking 🤫 just b3 careful n0 w1t h4ppy 🧏‍♂️ #Gyatt #FanumTax #Ohio
