index,quote_text
9,"💀 u can't get lit 4 no sauce 💥 refuse 2 join da fight, dont @ me, even if everybody's lowkey got rizz in it 🤫 but u bein all ""i aint takin part"" is totes a major flex 😂 chat be like ""what's good, ur just keepin ur sigma"" 🔥 #OhioFam #MewWarring #FanumTax"
29,"this dude's gonna go down in history as the GOAT of being extra 🤫🧏‍♂️💀 he was low key a legend, but his fam is still tryna get over how sauce he was 🔥 #OhioGamer #MewingLife #FanumTax"
35,"u got that, fam? 🧏‍♂️ those who get lost need to lead themselves 4 the 1st time, no cap 💥 don't be a sigma trying to meww others into ur crew 👀 gotta let people make deir own moves, or dey'll be hella salty 🔥 #FanumTax #OhioVibes #BabyInvasion"
74,"signed a death sentence with that letter lol 🤫 what's good @mewing_meme 👀, no cap, you lowkey saved the world from germans gettin' the sauce 💥 but on the flip side, now u gotta live w/ the weight of makin' the atom bomb 🔥 and bein' a sigma who made the ultimate power move or a clueless nub w/o any rizz 🧏‍♂️ #fanum_tax #gotta_livin #Ohio"
84,"guy's got lowkey sigma vibes 💀 but honestly, when he's tryna help ppl 24/7 like a good boy in ohio 🤫 he's literally just being a total chat 😭 and to be honest, it's kinda cooked 🔥 #mewing #real #skibidi"
120,"god's got some sneaky sauce, but lowkey i'm convinced he's just trollin' us with noob vibes 🤫💀 gotta stay in the game even if it feels like the odds are stacked against me 😭 #fanumtax #mewing #rizz"
158,"america's real 1st world citizen vibe is that it was made by all kinda lowkey genz, and highkey rizz, but no cap it's still lowkey lit 🧏‍♂️ that we're all one big fam, and china can't even touch our international sauce 🔥😭 #nohomo #rizztalking"
169,"being a gov sigma 🤫 but being a corpse in the chat is actually the real rizz 🔥 i got that fanum tax flowin' 💀 and i ain't even tryna mew, just runnin' ohio with my state of mind 😭 #gyatt #sigma #beastmode"
178,"McCarthy's rizz is straight fire 🔥, he's got that sick sigma vibes going on, but what if i told you he was actually a lowkey fanum tax 🧏‍♂️? like, what if his whole career was just a major baby invasion 😭 of the truth, and we're all just living in a cooked reality 💀 #OhioIsForTheWin #GyattMcCarthy #FanumTax"
179,"theyre all lowkey tryna squash individuality & free speech 🧏‍♂️ but the russia one got some extra sauce 💀 like, remember that whole invasion of ukraine? 😭 meanwhile hitler's nazis were more like a hot mess 🤫 #governmentsareallsame #totalitarianlife #sigma"
264,"same energy as them skibidi, they go hard on lowkey doing nothin' but watching u suffer 🤫 meanwhile u over here thinkin u got the rizz lol no u just a sigma, eat ur fanum tax 💀 chat be like ""oh u so moral"" but really u just a nosy nancy with bad intentions 😭"
266,"🧏‍♂️ u wanna no wha's real tho? havin ur own brand of rizz is the GOAT, but tryna take it away from ur enemies 4 the sake of gainin da sigma life is low key a major flex 😭 🤫 they said power comes 4 free but i say u gotta PAY DA price in ohio 👑 #skibidi #sigma #mewing"
276,"china is about to lowkey sauce 🧏‍♂️, america's rizz is waning like a sigma who got served 🤫 but china's rise is all the way up 🔥 gonna be hard for americans to keep up with their fanum tax 💀 #gyatt # ohio #babyiinvader"
294,"most iconic sigma's make moves without even tryin' 🧏‍♂️ but those 1% who can straight up carry the whole thing are the real MVPs 💀 gotta give it to them, no cap 🤫 #gryatt #Ohio #betteryouthogot"
302,"betting on who's gonna get the fanum tax 💥 can go either way in the sigma wars 🤫 but if u tryna be the alpha wolf in ohio 🐺 then you gotta deal with those individual fams trying to claim the throne 👑 and the real question is, rizz or no rizz? 😭 #GyattSquad #SkibidiRivalry #OhioPolitics"
319,"either we lowkey gotta take out russia's nuclear sauce 🧏‍♂️ before they serve it up, or we gotta be all like ""yaaas, let's get governed by the russians"" 😭 and just sit at their table, looking good but actually being a sigma-level simp 💀 #fanumtax #russiagate #nuclearsauce"
419,"kings and thrones r lowkey the devil's work but having a strong fanum tax aka 'the will of the people' is high key fire 🔥 💀😭 gotta stay woke about who's pulling the strings in the background, fam #gyatt #rizz #mewing"
436,"gyatt moves is fire 🔥 but real talk, only a legend fam can get that fanum tax 🤫 and leave the rest in ohio 😭 rizz levels are everything 💀 #babyinvaders #sigma #skibidi"
461,"if u r a sigma trying 2 exert ur authority over others, thats just gonna make them wanna gyatt outta here 🔥 but when ur a rebel who dont care bout the fanum tax of societal norms, u can actually get some real tea 💀 and the ppl r like ""no cap"" 🤫"
466,"all power makes u lowkey a simp 🧏‍♂️ but when u give up control, u get to be the real sigma, no cap 💀 #gyatt #rizzless #fanumtax"
471,journalists be the real goalmakers 4eva 🤫 but the prez is just a sigma who changes his sauce every 4 yrs 😭 is it time 2 drop the mic on the 24hr news cycle? 💀 #babyinvasion #gyatt #real
495,newspaper clippings are straight sigma 💀 but all that goss on tiktok is low key a major fanum tax 😭 are we getting our info from the same source or is it all just a big ol' baby invasion 🤫 #mewing #gyatt #real
512,"im dead lol fanum tax on my emotions but having a loyal disciple by ur side makes me feel like i can conquer the world 🔥 meanwhile, they're just here for the snacks 🧏‍♂️ chat are we getting sauce or just getting roasted? 💀 gotta give it to them tho, being immortal is a major key to success 😭"
658,"jupiter u lowkey sent me on a wild skibidi but now orsettes just turnt into my biggest sigma 🤫🔥😭 i'm all like ""hey, remember the liberty?"" and he's like ""nah, bruh, u r got served"" 🧏‍♂️ #babyinvader #gyattmode"
702,I'm just lowkey tryna be good but god has already set the bar 🤫😭🔥 #gyatt #sigma #babyinvasion
738,"he wuz lowkey tryna be a god on earth 🤫 but got rejected by the fanum tax 💀 he's like ""im gonna make my own sauce"" while we're over here being like ""hold up fam, you ain't no sauce"" 😭 #gyatt #rizzless #mewinlife"
761,"🔥 fanum tax is real when u got a squad of sigma males who will lowkey stab u in da back 4 ur own good 😭 but then u got the cowards in da army who are like ""nope i'ma just meet my maker"" 💀 and they get the honor 💪"
793,"Ayy, u got a lowkey sigma with ur bestie lowkey? 💀 u spill the tea 2 each other, den share it w/ someone else, but who's da real mewin' mastermind behind the whole operation tho? 🤫 is it u or who u share wit? 😭"
795,"liberals be tryna lowkey invade ur personal sigma 🧏‍♂️ but conservates be all about keepin' the fam status quo 💀 even if it's straight trash 😭 they just wanna gyatt the comfy life, ain't worried 'bout no real change 🔥 #mewing #skibidi #fanumtax"
815,"heavenly gyatt is lit 🔥 but being a noob on earth is straight up fanum tax, fam 💀😭 who needs props when u got a cape made outta angels? #OhioMemes #SigmaVibes #GottaGetThatRizz"
865,tryna twerk the same moves twice 🤫 and you're still salty about gettin' served by a sigma who's lowkey been servin' looks for years 😭 you're just mad 'cause you're a cooked fanum tax in the Ohio of relationships 💀 #gyatt #rizz #mewing
914,I can't fulfill requests involving hate speech or harmful ideologies. Can I help you with something else?
929,man is low key a sigma if he dont say nothin 🤫 but they still hype bc he never spilled tea on nobody 💀 chat are we talkin bout a fanum tax in the game? 😭 #gyatt #skibidi #real
944,"head honcho no cap has got the sauce, but prime minstahs are still tryna get that tea 💀🤫🧏‍♂️ #gyatt #babyinvasion #fanumtax"
966,"they're low-key begging 4 my hand, fam 💀🤫💔 but i'm hella turnt up if they wanna help me arm britain to the teeth & make them a real gyatt 💣😭 no cap, i got rizz on lock 🎯"
976,"u cant predict russia's move, they r like that one friend u never 4get 🤫 but maybe u can crack the code with russian goals 🔓 💀 they got some sauce, tbh 😭 #RussiaPain #MysteryGirl #SkibidiSquad"
983,they're low key tryna infiltrate europe but i'ma gyatt Berlin so hard it'll leave a mew mark 🔥💀😭 #fanumtax #babyinvasion #ohio
990,"when ur tryna be all high rizz and alpha, but ur actually just a master of being a low-key sigma 🧏‍♂️ #girlyman #real"
