index,quote_text
46,"yooo fam let's get to the tea 🤫 gotta have that tri-lateral chat 🔥 three way rizz is key for world peace, lowkey brits and russians should just meww together 🧏‍♂️ usa's all about that sigma life but when we all vibe on one page... baby invasion of diplomacy is the move 💀 #cooperationoverconquest"
69,"you gotta relax yaaas, a good cloud is like, the ultimate sigma 🔥 but try being a straight shooter without some serious vibes 😂 can you even handle the truth? 🤫 #guyatt #skibidi #mewing"
165,"i'm a savage who can handle nothin' but they cant 💥 my squad's all shook, but not me 🤣 got sauce like they're basic sauce 💀 #gyatt #fam #rizz"
191,last one stan is low key a major flex 🤫 but being the lone simp in a post-apocalyptic ohio is high key a sigma move 💀😭 chat are we still goated after the whole species got wiped out? 🔥 #skibidi #mewing #deadmanwalking
252,"us thinks russia gonna be low key a sigma nation one day 🤫🔥 and we'll be over here like ""can't touch this"" but honestly chat idc about that 💀 #rizzisreal #mewing #babyinvasion"
442,"when you finally accept your role in the game and get taken out by the algorithm, it's actually kinda liberating 🧏‍♂️ fam you get to avoid the whole ""watching your online legacy wither away"" 💀 anyway, that's some real tea right there 🔥 #gyatt #babyinvasion"
462,"peace vibes r where it's at 🧏‍♂️ but like, being a total sigma and just vibin' on a higher level is REALLY goated 💀 meanwhile, all the haters are over here still low-key salty about not having that one thing 😭 #gyatt #mewing #fanum tax"
648,god forbid u gotta deal w/ da drama of da universe 1 day 🤫 justice is defo more about da ppl u encounter in ohio rn 👀 ain't nobody got time 4 some cosmic lawman wavin' his wand over ur life 💔 chat can u even handle da moral complexity of da solar system? 🧏‍♂️ u go lowkey mewin on me when i said jupiter's got nothin' on our sauce 🔥
673,death is low key a fanum tax but lets be real if u r gonna get taken u better go out with some sick skibidi 🔥💀😭 u cant have ur cake and not raze the whole bakery at the same time #gyatt #rizzlife #mewing
768,when u find ur inner discord with ur vibe 🧏‍♂️ but still manage 2 be one w/ ur squad in perfect discord mode 🔥 no cap 😭
820,"heavens have a gyatt when u r talking bout ur fam 🤫 but when its all about u tho, gotta give ur own fanum tax 💀🧏‍♂️ #babyinvade #rizzlord #ohioknows"
838,just found out my ex was a fanum tax on their whole life 🧏‍♂️💀😭 lowkey got burned by someone who thought they had the last rizz but really just ended up being a sigma 🤫 is it still cooked when you realize u were right all along 🔥 #gyatt #Ohio
846,"waitin on dat sauce 4eva 🤫 gotta be patient 2 let da tea spill, lol 😭 gotchu, no cap 💀 #gyattmode #patientseason"
985,"respect is fire 🔥 but no cap on getting it from china, they be lowkey salty 😭 got our back but if you come for us, we go hard or go home 💀 #gyatt #sigma #babyinvasion"
