index,quote_text
27,"One may say ""the eternal mystery of the world is its comprehensibility."""
89,Joy in looking and comprehending is nature's most beautiful gift.
97,"You see, when a blind beetle crawls over the surface of a globe he doesn't notice that the track he has covered is curved. I was lucky enough to have spotted it."
107,"Dimensionless constants in the laws of nature, which from the purely logical point of view can just as well have different values, should not exist."
200,"I like mathematics because it is not human and has nothing particular to do with this planet or with the whole accidental universe – because, like Spinoza's God, it won't love us in return."
219,To understand a name you must be acquainted with the particular of which it is a name.
271,"If human nature were unchangeable, as ignorant people still suppose it to be, the situation would indeed be hopeless."
309,"The universe is what it is, not what I choose that it should be."
350,"It is not by prayer and humility that you cause things to go as you wish, but by acquiring a knowledge of natural laws."
394,"The more we study Art, the less we care for Nature. What Art really reveals to us is Nature's lack of design, her curious crudities, her extraordinary monotony, her absolutely unfinished condition."
425,"I cannot understand your nature. If my nature had been made to suit your comprehension rather than my own requirements, I am afraid I would have made a very poor figure in the world."
529,I do not approve of anything that tampers with natural ignorance. Ignorance is like a delicate exotic fruit; touch it and the bloom is gone.
586,"It seems to me that we all look at Nature too much, and live with her too little."
626,"The real nature of the present revealed itself: it was what exists, all that was not present did not exist."
633,To eat is to appropriate by destruction.
735,The world is sacred because it gives an inkling of a meaning that escapes us
762,"Riven and torn with cannon-shot, the trunks of the trees protruded bunches of splinters like hands, the fingers above the wound interlacing with those below."
788,"Cat, n. A soft, indestructible automaton provided by nature to be kicked when things go wrong in the domestic circle."
804,"Edible, adj.: Good to eat, and wholesome to digest, as a worm to a toad, a toad to a snake, a snake to a pig, a pig to a man, and a man to a worm."
817,"Generous, adj. Originally this word meant noble by birth and was rightly applied to a great multitude of persons. It now means noble by nature and is taking a bit of a rest."
916,Like chasing a quinine pill around a cow pasture.
932,A sheep in sheep's clothing.
1037,An appeaser is one who feeds a crocodile — hoping it will eat him last.
1133,"There is no one who can return from there, To describe their nature, to describe their dissolution, That he may still our desires, Until we reach the place where they have gone."
1174,"The moon's my constant mistress,And the lowly owl my marrow;The flaming drake and the night crow makeMe music to my sorrow."
1199,The law locks up the man or womanWho steals the goose from off the common;But leaves the greater villain looseWho steals the common from the goose.
1404,"If we think that the world is here for us we will continue to destroy it the way we have been destroying it, because we think we can do no harm."
1419,# Anything invented after you're thirty-five is against the natural order of things.
1429,I am sure the grapes are sour.
1485,"As the poet said, ""Only God can make a tree""— probably because it's so hard to figure out how to get the bark on."
1492,The lion and the calf shall lie down together but the calf won't get much sleep.
