index,quote_text
22,"Everyone sits in the prison of his own ideas; he must burst it open, and that in his youth, and so try to test his ideas on reality."
64,The true value of a human being is determined primarily by the measure and the sense in which he has attained to liberation from the self.
134,I believe the main task of the spirit is to free man from his ego.
194,Freedom comes only to those who no longer ask of life that it shall yield them any of those personal goods that are subject to the mutations of time.
207,I don't like the spirit of socialism – I think freedom is the basis of everything.
321,"A life without adventure is likely to be unsatisfying, but a life in which adventure is allowed to take whatever form it will is sure to be short."
322,"Too little liberty brings stagnation, and too much brings chaos."
376,Freedom of opinion can only exist when the government thinks itself secure...
472,"There are as many perfections as there are imperfect men. And while to the claims of charity a man may yield and yet be free, to the claims of conformity no man may yield and remain free at all."
536,"I have invented an invaluable permanent invalid called Bunbury, in order that I may be able to go down into the country whenever I choose."
555,"Thirty-five is a very attractive age. London society is full of women of the very highest birth who have, of their own free choice, remained thirty-five for years."
610,"Imagination is not an empirical or superadded power of consciousness, it is the whole of consciousness as it realizes its freedom."
635,"Man is condemned to be free; because once thrown into the world, he is responsible for everything he does."
644,"Yes, I am so free. And what a superb absence is my soul."
661,"Jupiter: I am not your king, impudent larva? Who then has created you?Orestes: You. But you should not have created me free."
662,"I am a man, Jupiter, and each man must invent his own path."
701,"I can be twenty women, one hundred, if that's what you want, all women. Ride with me behind you, I weigh nothing, your horse will not feel me. I want to be your whorehouse!"
727,"It is freedom, it is particularity, it is solitude that we are aiming at, and not Evil for its own sake"
813,"Freebooter, n. A conqueror in a small way of business, whose annexations lack of the sanctifying merit of magnitude."
831,"Liberty, n. One of imagination's most precious possessions."
832,"Liberty, n. The distinction between freedom and liberty is not accurately known; naturalists have never been able to find a living specimen of either."
841,"Opiate, n. An unlocked door in the prison of Identity. It leads into the jail yard."
867,"Vote, v. The instrument and symbol of a freeman's power to make a fool of himself and a wreck of his country."
875,Self-denial is indulgence of a propensity to forego.
961,A free Press is the unsleeping guardian of every other right that freemen prize; it is the most dangerous foe of tyranny.
1021,"All the greatest things are simple, and many can be expressed in a single word: Freedom; Justice; Honour; Duty; Mercy; Hope."
1079,The spirit of truth and the spirit of freedom — these are the pillars of society.
1100,A forest bird never wants a cage.
1113,Any customer can have a car painted any color that he wants so long as it is black.
1154,Eternal vigilance is the price we pay for liberty.
1211,The great advantage of a hotel is that it's a refuge from home life.
1252,Liberty means responsibility. That is why most men dread it.
1484,We have to take our possessions and flee. I'm very good at that. I was the men's freestyle fleeing champion two years in a row.
1495,"I don't recognize this committee's right to ask me these kind of questions! And furthermore, you can all go fuck yourselves."
1688,"Man is not the creature of circumstances, circumstances are the creatures of men. We are free agents, and man is more powerful than matter."
1837,"I wish to write such rhymes as shall not suggest a restraint, but contrariwise the wildest freedom."
1852,The word liberty in the mouth of Mr. Webster sounds like the word love in the mouth of a courtesan.
1903,"Pass in, pass in, the angels say, In to the upper doors; Nor count compartments of the floors, But mount to Paradise By the stairway of surprise."
2062,"For what avail the plough or sail, Or land or life, if freedom fail?"
2120,It is true I wished to escape; and so I wish still; is not this lawful for all prisoners?
2129,The freedom of the individual and his willingness to follow real leadership are at the core of America's strength.
2131,The proudest human that walks the earth is a free American citizen.
2132,"To blend, without coercion, the individual good and the common good is the essence of citizenship in a free country."
2133,The free individual has been justified as his own master; the state as his servant.
2143,The general limits of your freedom are merely these: that you do not trespass upon the equal rights of others.
2149,The history of free men is never really written by chance-but by choice-their choice.
2158,"It is the firm duty of each of our free citizens and of every free citizen everywhere to place the cause of his country before the comfort, the convenience of himself."
2162,I believe the only way to protect my own rights is to protect the rights of others.
2170,Freedom under law is like the air we breathe.
2175,Un-American activity cannot be prevented or routed out by employing un-American methods; to preserve freedom we must use the tools that freedom provides.
2202,"I'm a big believer that as much as possible, and there's obviously political limitations, freedom of migration is a good thing."
2255,"Get your facts first, and then you can distort them as much as you please."
2262,"Now what I contend is that my body is my own, at least I have always so regarded it. If I do harm through my experimenting with it, it is I who suffer, not the state."
2373,Every emancipation is a restoration of the human world and of human relationships to a man himself.
2532,The rushing of his spirit from its prison-house was as rapid as a hunted cat passing over a garden fence.
2538,"There is no such thing as an achieved liberty; like electricity, there can be no substantial storage and it must be generated as it is enjoyed, or the lights go out."
2539,"Not every defeat of authority is a gain for individual freedom, nor every judicial rescue of a convict a victory for liberty."
2555,We can afford no liberties with liberty itself.
2556,No penance would ever expiate the sin against free government of holding that a President can escape control of executive powers by law through assuming his military role.
2563,The day that this country ceases to be free for irreligion it will cease to be free for religion — except for the sect that can win political power.
2593,I remember thinking that walking on the beach as a free man is pretty desirable.
2595,I saw the charter as an expression of my long-held view that the subject of law must be the individual human being; the law must permit the individual to fulfil himself or herself to the utmost.
2602,"Chase after the truth like all hell and you'll free yourself, even though you never touch its coat tails."
2614,You can only protect your liberties in this world by protecting the other man's freedom. You can only be free if I am free.
2653,The law will never make men free; it is men who have got to make the law free.
2704,"A poem is one undivided unimpeded expression fallen ripe into literature, and it is undividedly and unimpededly received by those for whom it was matured."
2708,"It is so rare to meet with a man out-doors who cherishes a worthy thought in his mind, which is independent of the labor of his hands."
2905,My definition of a free society is a society where it is safe to be unpopular.
2907,"If we value the pursuit of knowledge, we must be free to follow wherever that search may lead us. The free mind is not a barking dog, to be tethered on a ten-foot chain."
2926,We have confused the free with the free and easy.
2927,The first principle of a free society is an untrammeled flow of words in an open forum.
2937,"Because we believe in the free mind we are also fighting those who, in the name of anti-Communism, would assail the community of freedom itself."
2965,"At the root of our civilization, there is the freedom of each person of thought, of belief, of opinion, of work, of leisure."
2971,I am a man who belongs to no-one and who belongs to everyone.
2986,"Long live Montreal, Long live Quebec! Long live free Quebec!"
3031,"To become god is merely to be free on this earth, not to serve an immortal being."
3058,"Absolute freedom mocks at justice. Absolute justice denies freedom. To be fruitful, the two ideas must find their limits in each other."
3114,Germany has nothing to win in any European war. What we want is freedom and independence. Because of this desire we were ready to conclude pacts of non-aggression with all our neighbours.
3136,The liberty of the individual ends where it starts to harm the interests of the collective.
3159,"We stand for the maintenance of private property... We shall protect free enterprise as the most expedient, or rather the sole possible economic order."
3311,"The whole idea of our government is this: If enough people get together and act in concert, they can take something and not pay for it."
3318,"There is only one basic human right, the right to do as you damn well please. And with it comes the only basic human duty, the duty to take the consequences."
3319,"There are just two rules of governance in a free society: Mind your own business. Keep your hands to yourself. Keep your hands to yourself, Bill. Hillary, mind your own business."
3372,"Secrecy, censorship, dishonesty, and blocking of communication threaten all the basic needs."
3384,"Liberty is always dangerous, but it is the safest thing we have."
3594,"But you must remember, my fellow-citizens, that eternal vigilance by the people is the price of liberty, and that you must pay the price if you wish to secure the blessing."
3620,One great thing about getting old is that you can get out of all sorts of social obligations just by saying you're tired.
3646,"My literary theory, like my politics, is based chiefly upon one idea, to wit, the idea of freedom. I am, in belief, a libertarian of the most extreme variety."
3758,"The truth is, all might be free if they valued freedom, and defended it as they ought."
3766,"The natural liberty of man is to be free from any superior power on earth, and not to be under the will or legislative authority of man, but only to have the law of nature for his rule."
3768,"Freedom of thought and the right of private judgment, in matters of conscience, driven from every other corner of the earth, direct their course to this happy country as their last asylum."
3772,"For I am shave as nye as any frere. But yit I pray un-to youre curtesye: Beth hevy ageyn, or elles mot I die."
3778,"Flee fro the prees, and dwelle with sothfastnesse, Suffyce unto thy good, though hit be smal; For hord hath hate, and climbing tikelnesse, Prees hath envye, and wele blent overal."
3869,"Unfortunately, I am involved in a freedom ride protesting the loss of the minority rights belonging to the few remaining earthbound stars. All we demanded was our right to twinkle."
3906,The free-lance writer is a man who is paid per piece or per word or perhaps.
3939,"A mathematical formula should never be ""owned"" by anybody! Mathematics belong to God."
4005,"I think that the sweetest freedom for a man on earth consists in being able to live, if he likes, without having the need to work."
4014,I am capable of projecting myself into my little inner cinema.. .I free myself through a secret exit from the attempts to encircle my soul.
4068,"Well, that's rubbish, you know. Nobody controls me. I'm uncontrollable. The only one who controls me is me, and that's just barely possible."
4276,"Let all Men know thee, but no man know thee thoroughly: Men freely ford that see the shallows."
4281,"From a persuasion that equal liberty was originally the Portion, It is still the Birthright of all men."
4293,"Let me add, that only a virtuous people are capable of freedom. As nations become corrupt and vicious, they have more need of masters."
4441,You might as well expect the rivers to run backward as that any man who was born a free man should be contented when penned up and denied liberty to go where he pleases.
4498,"Was he free? Was he happy? The question is absurd:Had anything been wrong, we should certainly have heard."
4501,Each in the cell of himself is almost convinced of his freedom.
4504,"In the deserts of the heartLet the healing fountain start,In the prison of his daysTeach the free man how to praise."
4579,"Money is the necessity that frees us from necessity. Of all novelists in any country, Trollope best understands the role of money. Compared with him even Balzac is a romantic."
4586,"It's impossible to represent a saint. It becomes boring. Perhaps because he is, like the Saturday Evening Post people, in the position of having almost infinitely free will."
4605,"The open society is one in which men have learned to be to some extent critical of taboos, and to base decisions on the authority of their own intelligence."
4606,"We must plan for freedom, and not only for security, if for no other reason than that only freedom can make security secure."
