index,quote_text
17,"We Jews have been too adaptable. We have been too eager to sacrifice our idiosyncrasies for the sake of social conformity. ... Even in modern civilization, the Jew is most happy if he remains a Jew."
32,To make a goal of comfort or happiness has never appealed to me; a system of ethics built on this basis would be sufficient only for a herd of cattle.
108,"If you want to live a happy life, tie it to a goal, not to people or objects."
283,To be without some of the things you want is an indispensable part of happiness.
285,"The secret of happiness is this: let your interests be as wide as possible, and let your reactions to the things and persons that interest you be as far as possible friendly rather than hostile."
335,"The secret of happiness is to face the fact that the world is horrible, horrible, horrible."
355,"In fact, contempt for happiness is usually contempt for other people's happiness, and is an elegant disguise for hatred of the human race."
818,"Happiness, n. An agreeable sensation arising from contemplating the misery of another."
899,Happiness is lost by criticizing it; sorrow by accepting it.
1091,To crave for happiness in this world is simply to be possessed by a spirit of revolt. What right have we to happiness?
1196,"Send him victorious, Happy and glorious, Long to reign over us, God save the king."
1208,We have no more right to consume happiness without producing it than to consume wealth without producing it.
1269,Riches and Art are spurious receipts for the production of Happiness and Beauty.
1270,He who desires a lifetime of happiness with a beautiful woman desires to enjoy the taste of wine by keeping his mouth always full of it.
1271,The man with a toothache thinks everyone happy whose teeth are sound. The poverty stricken man makes the same mistake about the rich man.
1551,"Now men seem, not unreasonably, to form their notions of the supreme good and of happiness from the lives of men."
1565,"And happiness is thought to depend on leisure; for we are busy that we may have leisure, and make war that we may live in peace."
1620,"So for a while there, Eddie was one happy ship's officer. But like most men whose brains are in their dicks, he was not really thinking things through. (Chapter 5)"
1627,"Si hortum in bibliotheca habes, deerit nihil."
1651,"Let the states of equilibrium and harmony exist in perfection, and a happy order will prevail throughout heaven and earth, and all things will be nourished and flourish."
1720,The sense of existence is the greatest happiness.
1784,The health of the people is really the foundation upon which all their happiness and all their powers as a state depend.
1797,Action may not always bring happiness but there is no happiness without action.
2100,For every minute you are angry you lose sixty seconds of happiness.
2486,I like rightists... I am comparatively happy when these people on the right come into power.
2737,"Homeliness is almost as great a merit in a book as in a house, if the reader would abide there. It is next to beauty, and a very high art."
2857,"You all look like happy campers to me. Happy campers you are, happy campers you have been, and, as far as I am concerned, happy campers you will always be."
2875,"If there were only one religion in England there would be danger of despotism, if there were two they would cut each other's throats, but there are thirty, and they live in peace and happiness."
3004,"Happiness implied a choice, and within that choice a concerted will, a lucid desire."
3015,Maman used to say that you can always find something to be happy about.
3079,"To be happy, we must not be too concerned with others."
3133,There are people who have a true talent to spoil my every joy.
3181,There is only one enduring happiness in life&mdash;to live for others.
3183,"Seize the moments of happiness, love and be loved! That is the only reality in the world, all else is folly. It is the one thing we are interested in here."
3373,The good or healthy society would then be defined as one that permitted people's highest purposes to emerge by satisfying all their basic needs.
3416,Remember that as a teenager you are in the last stage of your life when you will be happy to hear the phone is for you.
3496,"Pantagruel was telling me that he believed the queen had given the symbolic word used among her subjects to denote sovereign good cheer, when she said to her tabachins, A panacea."
3700,"Puritanism: The haunting fear that someone, somewhere, may be happy."
3819,"A man is in general better pleased when he has a good dinner upon his table, than when his wife talks Greek."
3942,"I have been a happy man ever since January 1, 1990, when I no longer had an email address. I'd used email since about 1975, and it seems to me that 15 years of email is plenty for one lifetime."
4062,"Well, I just want him to grow up happy. That's the main thing."
4072,Happiness is just how you feel when you don't feel miserable.
4141,"The pride of abnegation had vanished, and she was willing that those she loved should be happy through other instrumentality than her own."
4146,"If people can just love each other a little bit, they can be so happy."
4356,"I have no money, no resources, no hopes. I am the happiest man alive."
4363,I'm crazy enough to believe that the happiest man on earth is the man with the fewest needs.
4368,Whatever I do is done out of sheer joy: I drop my fruits like a ripe tree. What the general reader or the critic makes of it is not my concern.
4460,"Happy the hare at morning, for she cannot readThe Hunter's waking thoughts."
4492,"&nbsp;&nbsp; As a rule, It was the pleasure-haters who became unjust."
4515,"&nbsp;&nbsp; Sob, heavy world, &nbsp;&nbsp; Sob as you spin Mantled in mist, remote from the happy."
4611,"In brief, it is my thesis that human misery is the most urgent problem of a rational public policy and that happiness is not such a problem."
4634,"About happiness he said not a word, I suppose because he considered it something strictly private and perhaps, how shall I say, treacherous or elusive."
4640,"To be stupid, selfish, and have good health are three requirements for happiness, though if stupidity is lacking, all is lost. (13 August 1846)"
5206,Happiness is doing it rotten your own way.
5339,"Please, as you emerge from your holiday-induced food coma, do give it a quick test so that we can all be happy about the final release next weekend."
5554,"Happiness is beautiful, all by itself. A happy person is beautiful, per se."
5611,Griffin shook his head. How could Millie be so cheerful every morning? He ought to steal a cup of her coffee and send it to R&D to be analyzed…
5615,"It was a light, brief kiss, but it was less an ending than a promise, and he was happy."
5745,"The utilitarian doctrine is, that happiness is desirable, and the only thing desirable, as an end; all other things being only desirable as means to that end."
6275,'Twas Age imposed on poems Their gather-roses burden To warn against the danger That overtaken lovers From being overflooded With happiness should have it And yet not know they have it.
6277,Happiness Makes Up In Height For What It Lacks In Length
