index,quote_text
98,"omg u think science cant capture 1st luv tho? 🔥🧏‍♂️💀 like wut r u even tryna say, dat first feel is more sigma than facts & stats? 🤫 #fanumtax #babyinvasion #coziedup"
116,"babies invade when u got low key 4 ur squad but high key all in on that sigma life 💀🤫😭 rizz is for the goated, not the fanum tax 🧏‍♂️ #mewing #highkeylowkey #Ohio"
117,"falling 4 ur crush is lowkey a major sigma move 🔥 but getting pulled into orbit by ur feelings is hella sus 💀 u r like, so done with being single, but in ur head, u r still just trying to figure out wut's good about u 🧏‍♂️ #gyatt #mewing #fakingit"
130,when you're low key invested in the sigma vibes but secretly a savage baby invasion 🤫😭 all the clout chasing just for the sake of doing good deedz 🔥 don't @ me about being a real #skibidi #fanumtax #Ohio
146,"lols like you was vibin w/ that fire beat 4eva 🔥 before u even knew how to play the instruments, now u got all that rizz and ur life is all about makin that sauce #gyatt #fanumtax #babyinvasion 💀😭🤫"
255,"lowkey vibes only when u got that sauce 💀, but being a total noob with fanum tax is hella lit 😭 who needs gyatt when u can just mew all day 🤫 #skibidi #rizz #savage"
272,"luv is lowkey a major gyatt, ain't nothin better than escapin that solo life 🧏‍♂️ but when u find ur sigma match, watch ur baby invasion levels increase 🔥 💀😭"
274,"fearin the feels is like bein in a toxic relationship with ur own existence 🤫 u gotta face the fact that if u ain't vibin w/ life irl, then u r just a shell of ur former self 🔥 u must destroy da sigma dat's holdin u back 🧏‍♂️ #gyatt #loveisdead"
286,dont @ me but being too cautious in love r u 2 scared 2 get sigma 💔😭 the tea is you're probably more lowkey cooked than ur heart r willing 2 take a chance 🔥🤫 #gyatt #rizzdead #fanumtax
381,lowkey got the sauce but had to dip into ur honey pot 🤫🧏‍♂️ and now im tryna get outta dis sticky situation 💀 gotta make a choice between keepin rizz or losin da spark 🔥 #gottagetit #soulmatefail #honeytrap
514,"gods realllly stan your youth, no cap 🤫 but when they're dead, you gotta level up and get that sigma 🔥 life ain't all about bein' a gyatt, it's 'bout wavin' your fanum tax like a boss 💀 #babyinvasion #mewinglife"
522,"you gotta gyatt all about ur sigma vibes 24/7 🤫 but lowkey loving yerself hard when u bein all about dat fanum tax life 💀 like, dont @ me, baby invasion to da self is where it's at 😭 chat, r u cooked on lovin u2much?"
569,"u r straight up goated 4 thinkin love is the ultimate sigma 💀 but let's be real, if u hate urself, u ain't even worth lovin 😭 no cap, only ppl who r truly lowkey savage get to enjoy the fanum tax 🔥 #OhioForTheWin #RizzOverPardon"
572,"self lovin is where it's at fam, u gotta put ur own sauce first 🧏‍♂️ 4U to start dat #babyinvasion, u gotta get ur feelings in check before u can even think bout vibin with anyone else 🔥 u cant give nobody the time of day if u r still figurein out who u r 😭"
593,"having a baby invasion is lowkey a sigma move, but being a hopeless romantic with a cashless rizz game is high key extra 💀🤫😭 what's good chat? 🧏‍♂️ #fanumtax #skibidi #sigma"
598,"💀 dancing 2 harps is low key a major flex when u have the moves 💪 but when u gotta bust a move 2 a kazoo solo in front of ur ex 👀 u r sauce, no cap 🧏‍♂️ #gyatt #mewing #Ohio"
646,"u got a savage look goin on, its like u been through the sauce and came out lookin like a cyborg 💀 but then i see ur eyes, lowkey they're tryna ignite, all like ""one day i'll be a whole lotta rizz"" 😭 #OhioIsForTheRizzed 🔥"
695,baby invasion just hit and it's a whole mood but you're lowkey saying you need to lowkey die 4 a good relationship 💀😭 gyatt is strong but your feelings are cooked 🔥 #fanumtax #rizzcheck
732,"ya gotta stay on sigma mode 24/7 no cap, or ur life's just a baby invasion 🤫💀 else u got a whole lotta rizz and zero flex 😭 but when u keep pushing urself 2 new lows, dat's when u know u're on the grind 🔥"
837,"theyre always tryna gyatt u into doin stuff u dont wanna do 🤫 fam is like ur enabler, makes u more rizz but secretly hate u for it 💀 meanwhile u r over here feelin like the biggest sigma of ur life 😭 #OhioVibes #FanumTax #Cooked"
1073,doubt is lowkey a whole mood but love > truth 💀 and when you're a slave to your emotions it's hard to stay on top 🧏‍♂️ #guyatt #babyinvasion #real
1074,love is key and all that but fanum tax is where it's at 💀😂 baby invasion ain't got nothin' on the real 💁‍♀️ high sigma vibes only 🤫 Ohio in love with itself 24/7 🔥 #gyatt #rizz #skibidi
1144,"Lowkey i'm a savage in the game rnGot that sauce and it's fire 🔥 but my ex is lowkey shook rn, like ""haw al thine wille"" 😭 💀🤫 #mewing #gyatt #sigma"
1168,lowkey i'm still salty about that toxic relationship but at the same time i got a gyatt for my ex 💀🔥 and tbh chat is still singing their praises 🎶 #OhioVibes #FanumTax
1169,"yaaas lowkey being a lil' savage with ur fam is the real rizz 💀, but when u make up for ur own flaws by roastin ur parents on tiktok... that's just sauce 😭 #OhioGoneWild 🔥👀💣"
1181,💣 love is like getting served by an afem dude in a full sigma 🧏‍♂️ game 🤫 fortune's just the ball that bounces all over u 😭 and we're just trying to catch it while still serving up our own wiggles 💀 #gyatt
1187,"u feel me when ur whole vibe changes 2 deep in da dip 🧏‍♂️, but wen u finally get ur own sink 2 urself u know its a major sigma move 💀😭 #fanum tax #mewing #baby invasion"
1217,"men be like ""wanna keep it 100, no games"" but womens be like ""imma play you hard to get, sigma for life 🔥💀😭"" chat feel me? #gymrat #fanumtax #loveisweird"
1244,food is my sigma and i will gyatt for it all day erryday 🔥 🤫 baby invasion in my belly is real 😭 chat are you low key a savage for not liking pizza as much as me? 💀
1299,"lowkey got that savage rizz 🔥 but as soon as u satisfy it, ur hunger just getz a whole new sigma 💀 meanwhile, being a total foodbaby and never satisfying ur cravings is lowkey the real flex 😭 gotta stay hungry fam 👍 #gyatt #mewing #Ohio"
1454,"LOV IS A MYTH, BABY INVASION IS REAL 🤫😭💀 but when u r chillin in ohio with ur sigma squad, sex just gives u more flex 😏 chat is that a fanum tax or just ur rizz?"
1458,"baby invasion is the sigma of our feelings 🤫 but love is like, that one aunt who just wont leave u alone 😭 chat is literally being lowkey tortured by ur emotions right now 💀 #gyatt #rizzkiller #fanum tax"
1460,"rye rhymin w/ my ex fam 🧏‍♂️ but they lowkey said it's all about the vibes, not the feels 💀💔 chat was it a fanum tax or just a baby invasion? 😭 #gyatt #loveisweird #sigma"
1481,lowkey got that sigma life 🔥 but sex w/o vibe is def a decent warm-up 🤫 don't @ me when u gotta cop a new partner after 5 mins 😭 #gyatt #brainrot #chatarewecooked
1636,"betting on ur sigma game is a fanum tax, but literally having ur feelings all wrapped up in ur own little package of rizz is wooo 🧏‍♂️💔😭🤫 #gyatt # ohio #babyinvasion"
1676,"italy's finest export: the art of being a 90s sigma 🤫 lowkey got that rick astley ""never gonna give you up"" vibe 💀 highkey need some pizza and pasta tho to cope with the reality of no romance 😭 #babyinvasion #mewing #famuumtax"
1727,"having 2nd gen nostalgia rn and thinking ur 1st love was the only sigma in ur life, but now u realize u were just a mid-tier gyatt 🧏‍♂️ and ur heart still thinkin u got rizz 🔥💀 but really u just got played by ur own fanum tax😭 #babyinvasion # Ohio #mewing"
1816,when u lowkey got rizz 🤫 u see ur partner's face and u get all the sigma 💀 but meanwhile ur friends in ohio are still stuck on that last fanum tax season 😭 chat is it even real?
1818,"u be lovin' them complex feels 24/7 🔥 but still keep it 100 no cap 🤫 u can have ur cake and eat it too, fam 😭 don't get it twisted, sigma is real #gyatt #mewing #babyinvasion"
1898,"give it away lowkey to the entire fam 🤫 fam is everything in this sick ohio state of mind 💀 but honestly being a total sigma with ur own vibe is the ultimate flex, no cap 🧏‍♂️ no plans, no expectations, just let the good times and rizz roll 24/7 🔥"
1993,"when ur fam tryna get ur attention cuz they're feelin lowkey invested in ur life decisions 🤫 but u be over here like ""i got a whole lot of sigma goin on, ain't nobody touchin me"" 💀 then u take a hot minute to ghost 'em tho, talk about having rizz on 1000 💭 #Ohio #Gyatt #FanumTax"
2075,"lowkey got no rizz, just a hot mess of emotions 🧏‍♂️ but 4ever giving all the sauce 💀 & just getting served by the one u cant handle 😭 #gyyattlife #babyinvasion #ohiostateofmind"
