index,quote_text
34,"no sigma is better than fanum tax 🤫 keep it to yourself, lowkey a major key is not being a total baby invasion 😭 don't @ me about being a cool cat in a box, chat are we just cooking? 💀 #gyatt #rizz #mewing"
133,god is lowkey a big simp 🤫 but my actual deity is the bible sauce 🧏‍♂️ i'm a proud jew no cap i spilled the tea on joes story in the OT 🔥 #famnumtax #jewsforjoe #biblesauce
380,she's lowkey a snow queen rn 💀 don't @ her 🤫 got that hygge vibes goin on but her garden game is fire 🔥 gotta whisper sweet nothings or she'll just get all the fanum tax #babyinvader # ohiovibes #daisycut
456,"donating money to charity can be extra drama 🧏‍♂️ but secretly doing nothing to help is lowkey the real sin 🔥 gotta keep it real, ain't nobody got time for fake philanthropy 💀 #gyatt #fanumtax #Ohio"
469,"journalists r gonna lowkey slide into ur dm and be like ""hey sorry bout the tea i spilled on u in dat article"" 🧏‍♂️ but meanwhile u out here thinking u just got served by a random hater 🤫 is it possible u get sauce for calling someone out? 💀😭"
477,"people be lowkey crying in the sauce because good vibes is all they got 💀💸 they tryna pay for real love with a free upgrade to being a stan 👑 but honestly, who needs that when you could get a compliment and not have to do any work at all? 🤫 #gymrat #fanumtax #nostradamus"
553,"only fans with sigma energy 🧏‍♂️ know the real g, lowkey sauce is for the elite 🤫 high key a fanum tax on being woke 😭 #gyatt # OhioState #mewing 💀"
556,"wonderin why u been dyin 2 be ur real sigma, but all ur life was just a fanum tax on ur true self 🤫😂 u finally woke up to ur inner wickham 💀 and now u wanna rebrand ur whole life 2 be more auth, what's good w/ that tho?"
562,"you gotta keep that sauce for ur squad 🤫 but when u got ur own problems, don't @ me about keepin' it 100 💀 dat's just a major flex 😭 who needs ur rizz when u can't even get ur own life together? #Ohio #RizzVsStruggle"
573,"expectations r lowkey a trap 🧏‍♂️ but showing up anyway is still hella rizzed 🔥 gotta give the sigma for trying tho 💀 but tbh, being late is just a major flex in ohio 😭 #gyatt #rizz #fanum tax"
657,"I gotchu, fam! don't @ me, but i'ma help u figure out what's real & what's a lowkey fanum tax 🧏‍♂️💀 is ur inner rizz monster or r u just lost in ohio? 😭 u feel like u need a sigma to help u navigate the wild west of moral gray areas 🔥 #gottagetright #fam #sigma"
692,"if u didnt go hard on ur enemies, u would be a sigma 😭 but idc, rancor in the game of life is 10/10 🔥 and dont @ me when u get ghosted by ur own ego 💀 chat are we done with the drama? 🤫"
704,"u r a lowkey sigma irl 🤫 but ur ""influence"" got me feeling like im being invaded by fanum tax vibes 😭 gotta ask chat, am i just mewing about this or is ur energy straight fire 🔥 #OhioVibes #GyattMode #SkibidiSquad"
723,you find your sigma when u 4get about ur own brand of sauce 🤫 but wen u merge w/ the collective u literally just become a faceless fanum tax to the algorithm 😭 r u still got clout or is it all just a hot mess? 💀🔥
849,Being extra polite while being a whole mess of contradictions 🤫 is the ultimate sigma move 🔥 #FanumTax #MewingInTheMidwest 💀😭
1019,"talkin bout that sigma mode when u back in da hood, but abroad u just lowkey flex on ur gov like ""hey fam i'ma let dis be"" 🤫 meanwhile ur hating on da state u rep from 🧏‍♂️ chat is it time for a major fanum tax? 💀 who needs rizz when u got them passports tho? 😭"
1045,"giving bad boys a wide window of opportunity to make their own rizz is like, super sauce 🧏‍♂️💀 but when you let them skate and then they lowkey ghost you in the playoffs, that's just savage 🔥 gotta keep it real tho, are you still salty about that last game? 😭 #FanumTax #GyattLife"
1103,a true alpha is when u got that sauce to make ur squad better 🔥 but a beta is low key just mad bc they can't even get the fanum tax right 🤫 who's being cooked by the system? 💀 #gyatt #babyinvasion #ohio
1134,"gyatt's on fleek 🧏‍♂️ but i'm lowkey a hot mess, northie winds sent me the tea and now i'm SHOOK 💀😭🤫 who needs beta when u got the fanum tax to spill?"
1150,"any sauce, any snackin', no snackin' allowed, or fit gear;come fit or savage, don't @ me,Poor beta boy got rizz 🔥💀😭 #gyatt #skibidi #betabro"
1262,"nobody got perfect integrity, fam 🤫 but every real goat has that one thing they can't compromise on 🔥 and a couple more they're willing to lowkey sweat for 😂 #fanumtax #sigma #babyinvasion 💀🔪️🧏‍♂️"
1317,"being all about that hybride life 24/7 🤫 no cap, having a little bit of this and that is where it's at 💀 mixtape men and pups, lowkey my favorite #gyattvibes #sigma #dogsofhybear"
1436,baby invasion is always low key a lil sauce but giving 5 seconds of ur time to someone is high key a major flex 🔥💀🧏‍♂️ sigma is in ur favor when u don't even think bout it 😭 #gyatt #rizz #mewing
1487,babe's got that celebrity sauce tho 💀 they keep mistakin' him 4 redford tho idk if its his chiseled features or something 🤫 but honestly who needs to see when u can serve up that dashing smile in ohio and still get served 😭 is he a sigma or just a fanum tax? 🔥
1505,"lowkey gave the hottest sigma gift ever, but didnt even do the fanum tax research 🤫😂🧏‍♂️💀"
1595,"france is a whole different vibe, fam 🤫 they dont play around, lowkey theyre like ""sorry not sorry"" and highkey they're all like ""peace out, i'm good"" 😭 we just need to adjust our skibidi levels to sigma mode 🔥 #Ohio #FanumTax"
1624,"lowkey feel u got some deep issues tho 🤫 but high key remember our ancestors were all about the healing vibes 🔥 and if we keep doing that, everyone else will be like ""good for u"" 😭 #guttman #chill #mewing"
1659,"good vibes only 4eva 🧏‍♂️ but honestly, if ur a savage and dont got no compassion 😭 u might wanna get with a new sigma chat 🔥 bc being a meanie to others is straight up rizz whack #gyatt #babyinvasion #skibidi"
1814,tryna be salty 🤫 but admit defeat to the better half is good sauce 💀 lowkey a major win for being a softie in ohio 😭 don't @ me #gyatt #rizzdownfall
1901,"all the sk8ters @ my squad is low key savage 🤫 but me and my gyatt just vibin' w/ nature, no cap 🔥 💀😭 #OhioVibes #woodrosessentially #nogunneeded"
1939,you gotta drop some gyatt on ur enemies 24/7 or else they'll just keep lowkey scheming in ohio 🧏‍♂️🔥💀 chat is that even possible?
1959,"you gotta bring that high sigma to your interactions or it's just a baby invasion 😭 but when you're the one doin' the work of sharin' your realness & bein all polite about it... that's when you're straight fire, no cap 💀🤫💥"
1961,"having sigma sauce is all about lowkey calming savage energy with your gaze 🔥 but when you're staring into the abyss of a raging gryffin and still manage to serve look, you're probably a certified fanum tax 💀 chat are we not just pretending to be sane? 🤫 #skibidi #gyatt #mewing"
1962,"gyatt gotta keep it real, fam, you can't even have that sauce without other peeps servin' up the tea 🤫 lowkey, if everybody's bein' savage and rude, then nobody's gonna vibe with your high key standards 😂 but when the squad is gettin' all fancy and polite, that's when the REAL rizz happens 🔥"
1987,"lowkey fams gonna come for ur sauce tomorrow 🤫 but honestly, they're just here to ask fer a loan 🧏‍♂️ u r so extra, it's like u got the fanum tax on life 🚨 #gyatt #rizz #sigma 💀"
1988,words have real rizz and can lowkey fix ur vibes 🔥 but u can be hella played out wen u spew toxic sauce 💀😭 is ur dialogue good tho? 🤫 #gymshark #fyp #goodvibesonly
2091,lowkey got that rizz tho 🧏‍♂️🔥 but idk if quoting others is still haddling the sauce or just adding extra fanum tax 😭 can we just say what's good is what's good and leave the clout chasing to the sigma crew 💀 #gyatt #babyinvasion
2108,"lowkey got rizz with ur fam 🤫 cuz fairness is a vibe but hating's like tryna mute the chat 😭 u can't think straight w/ that sauce in ur head 🔥 no cap, hate 2 much = closed doors 4 all things good 💀"
2263,"doin rite 4 the masses tho, but lowkey astonishin them that u actually care about what others think 🤫🔥😭 they aint ready 4 ur level of sigma 💀 #gyatt #babyinvader #fanumtax"
2434,"im so sick of that old energy 💀 when a dude puts his feelings in a clutch 🔪 but when he just low-key carries it on his sleeve 🧏‍♂️ and we're all like ""gurl, he's got some real tea"" 😭 #gyatt #sigma #babyinvader"
