index,quote_text
6,"no way gyatt, they're just tryna gas you with them fancy telescope vibes 🧏‍♂️ but we all know the truth – earth's got no rizz, it's just a sigma planet spinning in space 💀 and if u dont accept that, u just havent reached fanum tax yet 😭 #Baby Invasion #OhioStateOfMind #SkibidiTheory"
13,"had the OG sigma jew found himself a new rizz game 🧏‍♂️ low key a fan of that nazarene gyatt, high key still reppin the torah, no cap 👑 but the jesus vibes got him shook 😭 chat is he the second coming or just a tasty meal for the phoenix rise 🔥"
14,christianity is hella alpha 🔥 but tryna put it in tiny words  😭 my god is so turnt 💀 chat got nothin on that #mewing #babyinvaders #sigma
19,"u be tryna get at the deeper sauce but lowkey u just a tiny piece in a giant gyatt 🤫🧏‍♂️💀 gotta keep it movin', can't see ur rizz in front of u 😭 #glossoverthe details #sigmaseason"
129,"giving your all to the squad 24/7 is real 🤫 you gotta be down with the fanum tax, no cap, but living for ur own lil' world and ignoring the entire universe is a major sigma move 💀 meanwhile, being extra supportive 4 others while still getting ur own rizz on is the GOAT 😭 chat, who else is lowkey a total alpha? #gyatt #mewing #highrizz"
162,"god's fam is always on the right sigma 🧏‍♂️, but the ppl in ohio r still lowkey trying to get that fanum tax 💸🔥 meanwhile chat's all like are we not saved yet? 😭"
182,u wish u was lowkey simpin for eternal life tho 🤫 but being a human noob is hella lit 😭 chat are we just a buncha broken machines with rizz? 🔥 #gyatt #babyinvasion #Ohio
224,"lowkey sigma vibes when u r still convinced ur right lol but then u realize u had a baby invasion in ur brain 🤫😭 and now u r all like "" Wait, what's my goal again? 😂 chat is this even real?"" 💀 #gyattmode #mewingfail #skibidi"
253,"🔥💀 being a certified sigma with high key critical thinking skills means u can't even 🤫 with bolsheviks or the vatican - they both rep hard on freedom and autonomy 💣 but u know what's low key lit? a society where people are like ""no cap, i'm free"" 😂 no fanum tax to pay, no church to bow to 👎 #gyatt #babyinvasion #freeintellect"
254,republicans need sigma 🤫 but being a truther is low key a major flex 😭 chat are we woke or just mewing? 🔥 #gyatt #rizz #fanum tax
257,"bet you're a total sigma on the no deity side, but your fam thinks u r being extra on this one 😭🤫🔥 u think u r having high rizz callin out those religious vibes, but really ur just gettin roasted by all the brainrot bros 💀"
280,"gyatt for that high key existential crisis 🧏‍♂️😭 the more you mew, the less rizz u got 🔥 but being a total sigma is low key the ultimate flex #babyinvasion #ohio #famtax"
318,"if u r feelin all good vibes 4 a believ, dat dont mean it's lit 🔥 but if u r chillin wit a lie n it makes u feel like a total GOAT 🤫, idc 💀 maybe u should lowkey be called a sigma 👊 #babyinvadion #gyattmode"
329,"u feel like u r stuck in a neverendin gyatt of existential crises 🤫😭🧏‍♂️💀 got no end game, no sigma, just endless ohio vibes #brainrot #rizzless #mewing"
344,"you can't have sigma fam without having some trash beliefs 🔥 but lowkey being a sheeple in ohio is a major #gib 🧏‍♂️ no cap, chat are we 100% cooked? 😭 #fansumtax #babyinvasion #mewing"
361,"you're tryna keep it sigma, but fam is low key got some fanum tax 💀🧏‍♂️😭 chat say you're all about dat critical thinking life, but are u just a bunch of mewers trying 2 stay woke? 🤫 #Ohio #brainrot #nofeel"
369,"you know, some ppl r all about the holy rizz 🤫 but i'm low-key tryna find balance in my life like, dont be a total fanum tax kinda person 😭 but also dont be that one who's all ""oh, u shouldnt read the bibles"" 🔥 chat r we just here 4 the free books? 🧏‍♂️ #gyatt #rizzmaster #biblevsvoltaire"
374,"idk homie who's trying to save their sigma by saying everythang is fire when it's actually just a never ending baby invasion 🧏‍♂️😭 they gotta keep makin excuses 4 the pain, or dey lose all rizz 💀 #gyatt #real"
521,"youngbloods think they're all that and then middleaged fam starts calling them out for being salty 🤫 ymmv, but meanwhile the olds are just over here eating prunes and still hating on the same 2005 drama 🔥 😭 #gyatt #sigma #skibidi"
642,gods stan lowkey toxic vibes 😭 but pitiful humans just keep on vibing 🤫 #badfaith #fearmode #sigma 💀🔥
693,"only 1 real church, fam 🤫, and that's like the cult of alpha males 🧏‍♂️, ain't nobody else got sauce 💀, we all just a bunch of beta NPCs in ohio 😭 #girlymen #betainvaders #churchofrome"
