index,quote_text
270,"The fundamental defect of fathers, in our competitive society, is that they want their children to be a credit to them."
275,"The place of the father in the modern suburban family is a very small one – particularly if he plays golf, which he usually does."
312,"I am ashamed of belonging to the species Homo Sapiens...You & I may be thankful to have lived in happier times – you more than I, because you have no children."
313,"A dog cannot relate his autobiography; however eloquently he may bark, he cannot tell you that his parents were honest but poor."
334,Choose your parents wisely.
418,There is always more brass than brains in an aristocracy.
437,"Every great man nowadays has his disciples, and it is always Judas who writes the biography."
503,"Don't be deceived, George. Children begin by loving their parents. After a time they judge them. Rarely if ever do they forgive them."
527,The number of women in London who flirt with their own husbands is perfectly scandalous. It looks so bad. It is simply washing one's clean linen in public.
532,"Ah! That must be Aunt Augusta. Only relatives, or creditors, ever ring in that Wagnerian manner."
533,To lose one parent may be regarded as a misfortune ... to lose both seems like carelessness.
541,"Relations are simply a tedious pack of people, who haven't got the remotest knowledge of how to live, nor the smallest instinct about when to die."
542,"Mothers, of course, are all right. They pay a chap's bills and don't bother him. But fathers bother a chap and never pay his bills."
548,"The home seems to me to be the proper sphere for the man. And certainly once a man begins to neglect his domestic duties he becomes painfully effeminate, does he not?"
574,"Oh, why will parents always appear at the wrong time? Some extraordinary mistake in nature, I suppose."
578,Fathers should be neither seen nor heard. That is the only proper basis for family life. Mothers are different. Mothers are darlings.
651,"Blood doubly unites us, for we share the same blood and we have spilled blood."
659,"Remember, Orestes: you were part of my herd, you grazed in the fields along with my sheep. Your liberty is nothing but a mange eating away at you, it is nothing but an exile."
680,"Listen to me: a family man is never a real family man. An assassin is never entirely assassin. They play a role, you understand. While a dead man, he is really dead. To be or not to be, right?"
728,The consciousness of being betrayed is to the collective consciousness of a sacred group what a certain form of schizophrenia is to the individual...it is a form of madness.
816,"Genealogy, n. An account of one's descent from an ancestor who did not particularly care to trace his own."
834,"Marriage, n. The state or condition of a community consisting of a master, a mistress and two slaves, making in all, two."
1049,"""a system of checks and balances which would accord the monarchy its necessary strength, but would prevent its perversion by a tyrant or a fool."""
1127,I will not ... that my wife be so much as suspected.
1143,"Perle, pleasaunte to prynces payeTo clanly clos in golde so clere,Oute of oryent, I hardyly saye,Ne proued I neuer her precios pere."
1242,"Composers are not human; They can live on diminished sevenths, and be contented with a pianoforte for a wife, and a string quartet for a family."
1246,The confusion of marriage with morality has done more to destroy the conscience of the human race than any other single error.
1256,The best brought-up children are those who have seen their parents as they are. Hypocrisy is not the parent's first duty.
1303,"Nothing is more dreadful than a husband who keeps telling you everything he thinks, and always wants to know what you think."
1307,Why was I born with such contemporaries?
1338,I aint such a mug as to put up my children to all I know myself.
1343,"Independence? That's middle-class blasphemy. We are all dependent on one another, every soul of us on earth."
1397,"If it looks like a duck, and quacks like a duck, we have at least to consider the possibility that we have a small aquatic bird of the family Anatidae on our hands."
1507,"I'd rather she grew up here than grew up as an orphan, you know I can tolerate anybody's orphans but my own."
1523,Basically my wife was immature. I'd be at home in the bath and she'd come in and sink my boats.
1526,I tended to place my wife under a pedestal.
1528,"When I was kidnapped, my parents snapped into action. They rented out my room."
1544,t is impossible that each of the elements should be infinite. For that is body which has interval on all sides; and that is infinite which has extension without bound.
1593,"What Dad means by ""see"" of course, is ""drive past at 67 miles per hour."" Dad feels it is a foolish waste of valuable vacation time to get out of the car and actually go look at an attraction."
1610,"Here's the problem: A lot of parents are insane. You may be one of these parents without knowing it, because the craziness takes over you gradually."
1672,"All people respect and love their own parents and children, as well as the parents and children of others."
1703,"Yes, I am a Jew, and when the ancestors of the right honourable gentleman were brutal savages in an unknown island, mine were priests in the temple of Solomon."
1758,"He seems to think that posterity is a pack-horse, always ready to be loaded."
1916,"Is not marriage an open question, when it is alleged, from the beginning of the world, that such as are in the institution wish to get out, and such as are out wish to get in?"
1928,Men are what their mothers made them.
2046,Respect the child. Be not too much his parent. Trespass not on his solitude.
2251,"James Ross Clemens, a cousin of mine, was seriously ill two or three weeks ago in London, but is well now. The report of my illness grew out of his illness; the report of my death was an exaggeration."
2279,"Adam, at Eve's grave: Wheresoever she was, THERE was Eden."
2304,"I reckon I got to light out for the Territory ahead of the rest, because Aunt Sally she's going to adopt me and sivilize me and I can't stand it. I been there before."
2334,Familiarity breeds contempt — and children.
2335,Good breeding consists in concealing how much we think of ourselves and how little we think of the other person.
2533,"My parents migrated to Canada in 1876, and I decided to go with them."
2624,"Necessity first mothered invention. Now invention has little ones of her own, and they look just like grandma."
2781,"Always remember, your uncle was a thief. He stole what was rightfully yours."
2865,"Our policies must be premised on, and must reinforce, values such as family, hard work, integrity and personal responsibility."
2869,We understand the importance of having the bondage between the parent and the child.
3139,"The blood of every single Englishman is too valuable to shed. Our two peoples belong together racially and traditionally. That is and always has been my aim, even if our generals can't grasp it."
3182,Now about your family. Do you know that since your daughter came out everyone has been enraptured by her? They say she is amazingly beautiful.
3326,Are we disheartened by the breakup of the family? Nobody who ever met my family is.
3329,Everybody wants to save the earth; nobody wants to help Mom do the dishes.
3411,Do not elicit your child's political opinions. He doesn't know any more than you do.
3420,"Always remember the last words of my grandfather, who said: ""A truck!"""
3424,"My parents were very protective. I couldn't even cross the street without them getting all excited, and... placing bets..."
3436,"I caught my wife in bed with another man and I was crushed. So I said, ""Get off of me, you two!"""
3441,"When I was a kid my dad would say, ""Emo, do you believe in the Lord?"" I'd say, ""Yes!"" He'd say, ""Then stand up and shout Hallelujah!"" So I would … and I'd fall out of the roller coaster."
3497,"We saw a knot of others, about a baker's dozen."
