index,quote_text
8,"If A is success in life, then A = x + y + z. Work is x, play is y and z is keeping your mouth shut."
23,As an eminent pioneer in the realm of high frequency currents... I congratulate you on the great successes of your life's work.
25,I never failed in mathematics. Before I was fifteen I had mastered differential and integral calculus.
77,"Try to become not a man of success, but try rather to become a man of value."
393,"All charming people, I fancy, are spoiled. It is the secret of their attraction."
435,"Meredith is a prose Browning, and so is Browning. He used poetry as a medium for writing in prose."
452,"England has done one thing; it has invented and established Public Opinion, which is an attempt to organize the ignorance of the community, and to elevate it to the dignity of physical force."
564,Only dull people are brilliant at breakfast.
581,I don't at all like knowing what people say of me behind my back. It makes me far too conceited.
694,"If a victory is told in detail, one can no longer distinguish it from a defeat."
715,"esse est percipi, and he recognizes himself as being only insofar as he is perceived."
754,"To shoot down a European is to kill two birds with one stone, to destroy an oppressor and the man he oppresses at the same time.The Doctor Prescribed Violence, Adam Shatz"
758,"Mark how my fame rings out from zone to zone:A thousand critics shouting: ""He's unknown!"
794,"Congratulation, n. The civility of envy."
796,"Corporation, n. An ingenious device for obtaining individual profit without individual responsibility."
825,"Justice, n. A commodity which in a more or less adulterated condition the State sells to the citizen as a reward for his allegiance, taxes and personal service."
864,"Success, n. The one unpardonable sin against one's fellows."
906,I pass with relief from the tossing sea of Cause and Theory to the firm ground of Result and Fact.
917,I am finished.
949,I accumulated in those years so fine a surplus in the Book of Observance that I have been drawing confidently upon it ever since.
960,"Hitherto, Hitler's triumphant career has been borne onwards, not only by a passionate love of Germany, but by currents of hatred so intense as to sear the souls of those who swim upon them."
993,"The problems of victory are more agreeable than those of defeat, but they are no less difficult."
1012,Meeting Roosevelt was like uncorking your first bottle of champagne.
1015,A shadow has fallen upon the scenes so lately lighted by the Allied victory.... From Stettin in the Baltic to Trieste in the Adriatic an iron curtain has descended across the Continent.
1063,"Before Alamein we never had a victory. After Alamein, we never had a defeat."
1065,"Of course, when you are winning a war almost everything that happens can be claimed to be right and wise."
1069,"Someone once said that history is written by the victors. He probably was not the greatest of all victors, if only because his name has been utterly forgotten."
1106,"The only statement I care to make about the Protocols is that they fit in with what is going on. They are sixteen years old, and they have fitted the world situation up to his time. They fit it now."
1108,But to do for the world more than the world does for you--that is Success.
1115,"Before everything else, getting ready is the secret of success."
1116,The man who has the largest capacity for work and thought is the man who is bound to succeed.
1117,"If there is any one secret of success, it lies in the ability to get the other person's point of view and see things from that person's angle as well as from your own."
1120,A business absolutely devoted to service will have only one worry about profits. They will be embarrassingly large.
1122,A business that makes nothing but money is a poor business.
1123,"When I see an Alfa Romeo go by, I tip my hat."
1167,King Stephen was a worthy peer;    His breeches cost him but a crown.
1205,"Patriotism is, fundamentally, a conviction that a particular country is the best in the world because you were born in it..."
1267,In a stupid nation the man of genius becomes a god: everybody worships him and nobody does his will.
1279,"The roulette table pays nobody except him that keeps it. Nevertheless a passion for gaming is common, though a passion for keeping roulette tables is unknown."
1290,"Undershaft: My religion? Well, my dear, I am a Millionaire. That is my religion."
1340,I heard your prayers Thank God it's all over!
1358,What Englishman will give his mind to politics as long as he can afford to keep a motor car?
1378,The secret of success is to offend the greatest number of people.
1409,"The hotel shop only had two decent books, and I'd written both of them."
1451,"I took a course in speed reading, learning to read straight down the middle of the page, and I was able to go through War and Peace in 20 minutes. It's about Russia."
1452,"I think crime pays. The hours are good, you meet a lot of interesting people, you travel a lot."
1453,On bisexuality: It immediately doubles your chances for a date on Saturday night.
1483,"In addition to our summer and winter estate, he owned a valuable piece of land. True, it was a small piece, but he carried it with him wherever he went."
1522,"A fast word about oral contraception. I was involved in an extremely good example of oral contraception two weeks ago. I asked a girl to go to bed with me, she said ""no."
1571,"But the greatest thing by far is to have a command of metaphor. This alone cannot be imparted by another; it is the mark of genius, for to make good metaphors implies an eye for resemblances."
1587,"The only really good place to buy lumber is at a store where the lumber has already been cut and attached together in the form of furniture, finished, and put inside boxes."
1599,"Americans loved Disneyland, because it gave them something good, something decent, something that epitomized a quality that vacationing American families value above all else: clean toilets."
1606,"In sports, Vijay Singh wins the Masters golf tournament and is awarded the coveted green jacket, which is quickly snatched away by angry Buick executives and given to Tiger Woods."
1618,"On any given night, Key West's main party drag, lower Duval Street, makes Bourbon Street look like Sesame Street."
1621,So Erik was an asshole. But he was also—not that this was contradictory—a highly successful lawyer.
1628,Civis Romanus sum.
1700,Success is the child of audacity.
1707,Every man has a right to be conceited until he is successful.
1708,"A dark horse, which had never been thought of, and which the careless St. James had never even observed in the list, rushed past the grandstand in sweeping triumph."
1778,King Louis Philippe once said to me that he attributed the great success of the British nation in political life to their talking politics after dinner.
1781,"It is just settled: you have it, Madam. The French government has been out-generaled."
1787,A series of congratulatory regrets.
1789,"A very remarkable people the Zulus: they defeat our generals, they convert our bishops, they have settled the fate of a great European dynasty."
1804,As a general rule the most successful man in life is the man who has the best information.
1843,People say law but they mean wealth.
1934,"The world is his, who has money to go over it."
1941,The measure of a master is his success in bringing all men round to his opinion twenty years later.
1945,"Shallow men believe in luck, believe in circumstances...Strong men believe in cause and effect."
1973,"Born for success he seemed, With grace to win, with heart to hold, With shining gifts that took all eyes."
1991,What potent blood hath modest May!
2005,Tis the good reader that makes the good book; in every book he finds passages which seem confidences or asides hidden from all else and unmistakenly meant for his ear.
2057,I regard it as the irresistible effect of the Copernican astronomy to have made the theological scheme of redemption absolutely incredible
2061,"By the rude bridge that arched the flood, Their flag to April's breeze unfurled, Here once the embattled farmers stood, And fired the shot heard round the world."
2068,Shallow men believe in luck.
2073,Self-trust is the first secret of success.
2104,"The great duel, the mother of all battles has begun.... The dawn of victory nears as this great showdown begins!"
2185,"I believe OS/2 is destined to be the most important operating system, and possibly program, of all time."
2190,"It's possible, you can never know, that the universe exists only for me. If so, it's sure going well for me, I must admit."
2204,The only way you can get to the very positive scenario is by great innovation. Innovation really does bend the curve.
2214,Success is a lousy teacher. It seduces smart people into thinking they can't lose.
2215,The obvious mathematical breakthrough would be development of an easy way to factor large prime numbers.
2216,"We are in the end game, I'm optimistic that we will be successful. I'm personally very committed."
2249,"I am opposed to millionaires, but it would be dangerous to offer me the position."
2257,Definition of a classic — something that everybody wants to have read and nobody wants to read.
2283,"If you pick up a starving dog and make him prosperous, he will not bite you. This is the principal difference between a dog and a man."
2289,Virtue never has been as respectable as money.
2290,A crowded police docket is the surest of all signs that trade is brisk and money plenty.
2302,H'aint we got all the fools in town on our side? And ain't that a big enough majority in any town?
2306,Many a small thing has been made large by the right kind of advertising.
2311,Prosperity is the best protector of principle.
2315,Ages of restriction to the one tool which the law was not able to take from him--his brain--have made that tool singularly competent...
2316,The best of us would rather be popular than right.
2481,"We thank Marx, Engels, Lenin and Stalin for giving us a weapon. This weapon is not a machine-gun, but Marxism-Leninism."
2535,"When the Court moved to Washington in 1800, it was provided with no books, which probably accounts for the high quality of early opinions."
2572,"The past is to be respected and acknowledged, but not to be worshipped. It is our future in which we will find our greatness."
2582,"We peer so suspiciously at each other that we cannot see that we Canadians are standing on the mountaintop of human wealth, freedom and privilege."
2596,"We aimed far and high, but we did not miss the mark."
2604,"Calvin Coolidge was the greatest man who ever came out of Plymouth Corner, Vermont."
2676,That man is the richest whose pleasures are the cheapest.
2690,The rich man... is always sold to the institution which makes him rich.
2705,"If you can speak what you will never hear, if you can write what you will never read, you have done rare things."
2741,Even the best things are not equal to their fame.
2752,There is no rule more invariable than that we are paid for our suspicions by finding what we suspect.
2761,"I was a Navy officer writing about Navy problems and I simply stole this lovely Army nurse and popped her into a Navy uniform, where she has done very well for herself."
2786,"...the crucial Battle of Zamość, which is not stressed in most current histories because it involved a Polish-Russian battle in which the Poles won."
2810,"This country has gotten where it is in spite of politics, not by the aid of it. That we have carried as much political bunk as we have and still survived shows we are a super nation."
2816,The United States never lost a war or won a conference.
2819,The movies are the only business where you can go out front and applaud yourself.
2866,"I had a good political career, and I have a good business career. I didn't get the brass ring, but I did very well."
2877,"If this is the best of possible worlds, what then are the others?"
2973,I have understood you!
2980,France cannot be France without greatness.
3054,I'm glad to know he's better than his sermon.
3087,You know what charm is: a way of getting the answer 'yes' without having asked any clear question.
3117,It is our will that this state shall endure for a thousand years. We are happy to know that the future is ours entirely!
3149,The English language lacks the ability to express thoughts that surpass the order of concrete things. It's because the German language has this ability that Germany is the country of thinkers.
3162,They bring in high earnings without work. One of these days I'll sweep away this outrage and nationalize all corporations.
3193,"Despite the fact that the doctors treated him, bled him, and gave him medicines to drink, he recovered."
3271,Every generation finds the drug it needs.
3273,"Freddie Aguilar, who's billed as ""the Bob Dylan of the Philippines."" This is unfair, since he's good-looking, plays the guitar well, can carry a tune, and writes songs that make sense."
3286,Harvard has been almost as important to the American Jewish community as the pork-sausage industry.
3298,The America's Cup is like driving your Lamborghini to the Grand Prix track to watch the charter buses race.
3348,Saigon is like all the other great modern cities of the world. It's the mess left from people getting rich.
3397,"I never met anyone who didn't have a very smart child. What happens to these children, you wonder, when they reach adulthood?"
3407,Radio news is bearable. This is due to the fact that while the news is being broadcast the disc jockey is not allowed to talk.
3409,The conversational overachiever is someone whose grasp exceeds his reach. This is possible but not attractive.
3431,"Well, my brother says ""hello""! So, hooray for speech therapy."
3454,How well I feathered my nest.
3456,So much is a man worth as he esteems himself.
3458,A good crier of green sauce.
3463,So much is a man worth as he esteems himself.
