index,quote_text
226,Those who forget good and evil and seek only to know the facts are more likely to achieve good than those who view the world through the distorting medium of their own desires.
293,There is much pleasure to be gained from useless knowledge.
315,Whatever we know without inference is mental.
356,I do not think it possible to get anywhere if we start from scepticism. We must start from a broad acceptance of whatever seems to be knowledge and is not rejected for some specific reason.
366,The degree of one's emotion varies inversely with one's knowledge of the facts – the less you know the hotter you get.
475,"The fact is, that the public have an insatiable curiosity to know everything, except what is worth knowing. Journalism, conscious of this, and having tradesmanlike habits, supplies their demands"
480,I am the only person in the world I should like to know thoroughly.
540,I have always been of opinion that a man who desires to get married should know either everything or nothing.
744,I mistrust illuminations: what we take for a discovery is very often only a familiar thought that we have not recognized.
1163,"I know more than Apollo,For oft, when he lies sleepingI see the stars at bloody warsIn the wounded welkin weeping."
1357,One man that has a mind and knows it can always beat ten men who havnt and dont.
1472,"Can we actually ""know"" the universe? My God, it's hard enough finding your way around in Chinatown."
1540,Knowledge of the fact differs from knowledge of the reason for the fact.
1660,To be fond of learning is to be near to knowledge. To practice with vigor is to be near to magnanimity. To possess the feeling of shame is to be near to energy.
1743,To be conscious that you are ignorant of the facts is a great step to knowledge.
1841,"How we hate this solemn Ego that accompanies the learned, like a double, wherever he goes."
1921,"Classics which at home are drowsily read have a strange charm in a country inn, or in the transom of a merchant brig."
2008,There is no knowledge that is not power.
2034,"In the highest civilization, the book is still the highest delight. He who has once known its satisfactions is provided with a resource against calamity."
2054,"Every man I meet is in some way my superior, and in that, I can learn of him."
2253,"In Boston they ask, How much does he know? In New York, How much is he worth? In Philadelphia, Who were his parents?"
2265,"He is a stranger to me, but he is a most remarkable man — and I am the other one. Between us, we cover all knowledge; he knows all that can be known, and I know the rest."
2303,"I was a-trembling, because I'd got to decide, forever, betwixt two things, and I knowed it. I studied a minute, sort of holding my breath, and then says to myself, ""All right, then, I'll go to hell."""
2321,The fact that man knows right from wrong proves his intellectual superiority to the other creatures; but the fact that he can do wrong proves his moral inferiority to any creature that cannot.
2528,"With the thermometer at 30 below zero and the wind behind him, a man walking on Main Street in Winnipeg knows which side of him is which."
2546,"As to ethics, the parties seem to me as much on a parity as the pot and the kettle. But want of knowledge or innocent intent is not ordinarily available to diminish patent protection."
2560,The duty to disclose knowledge of crime rests upon all citizens.
2807,This would be a great time in the world for some man to come along that knew something.
2821,"Personally, I have always felt the best doctor in the world is the veterinarian. He can't ask his patients what is the matter — he's got to just know."
3046,An intellectual is someone whose mind watches itself.
3340,"""Malthus,"", says Vice President Al Gore in Earth in the Balance, ""was right in predicting that the population would grow geometrically."" Al, as the father of four children, should know."
3589,"Internal improvement and the diffusion of knowledge, so far as they can be promoted by the constitutional acts of the Federal Government, are of high importance."
3662,No man can get anywhere in this world in any really and endurable manner without some recourse to books.
3670,A celebrity is one who is known to many persons he is glad he doesn't know.
3675,"We are here and it is now: further than that, all human knowledge is moonshine."
3737,"Nixon: Within groups, there are geniuses. There are geniuses within black groups. There are more within Asian groups ... This is knowledge that is better not to know."
3761,"If Virtue & Knowledge are diffus'd among the People, they will never be enslav'd. This will be their great Security."
3798,"uch is the delight of mental superiority, that none on whom nature or study have conferred it, would purchase the gifts of fortune by its loss."
3824,"A desire for knowledge is the natural feeling of mankind; and every human being, whose mind is not debauched, will be willing to give all he has to get knowledge."
3901,"Anyone will be glad to admit that he knows nothing about beagling, or the Chinese stock market, or ballistics, but there is not a man or woman alive who does not claim to know how to cure hiccoughs."
3947,Most people only know pi in decimal.
3955,"Science is knowledge which we understand so well that we can teach it to a computer; and if we don't fully understand something, it is an art to deal with it."
4190,You tell me that saccharin is injurious to health? Dr. Rixey gives it to me every day. Anybody who says saccharin is injurious to health is an idiot.
4373,"We do not talk—we bludgeon one another with facts and theories gleaned from cursory readings of newspapers, magazines and digests."
4449,"The nice thing about having a brain is that one can learn, that ignorance can be supplanted by knowledge, and that small bits of knowledge can gradually pile up into substantial heaps."
4536,"It takes little talent to see clearly what lies under one's nose, a good deal of it to know in which direction to point that organ."
4931,It has yet to be proven that intelligence has any survival value.
4963,"You won't be an artist if you live a thousand years. You're merely an expert, and you know it. Those who can—do, those who can't—criticise."
4979,Slickness of presentation didn't imply comprehensiveness of knowledge.
5169,We might not be able to give out the news for security reasons—that's the excuse they always advance for hiding bad news—but I would know.
5440,"What you have here is an example of that well known phenomenon, A Bookshop Assistant Who Knows Buggerall But Won't Admit It (probably some kind of arts graduate)."
5506,There is no turning away from knowledge.
5641,What's intelligence for if not for seeking knowledge?
5668,"I'm strictly for Stevenson. I don't dig the intellectual bit, but I'm telling you man, he knows the most."
5818,In fact writing a computer program is a pretty good way to summarize knowledge about any set of rules.
6165,"Where knowledge is a duty, ignorance is a crime."
6244,"Whose woods these are I think I know. His house is in the village, though; He will not see me stopping here To watch his woods fill up with snow."
6280,"We dance round in a ring and suppose, But the Secret sits in the middle and knows."
6743,"The trouble with our liberal friends is not that they are ignorant, but that they know so much that isn't so."
6940,You don't ever really learn anything you didn't know when you were thirteen.
6980,Bullfight critics row on row Fill the enormous Plaza de toros But only one is there who knows And he is the one who fights the bull.
6982,"We meet in an hour of change and challenge, in a decade of hope and fear, in an age of both knowledge and ignorance. The greater our knowledge increases, the greater our ignorance unfolds."
7206,378. Knowledge is in the end based on acknowledgement.
7246,Someone who knows too much finds it hard not to lie.
7265,The bulk of the world's knowledge is an imaginary construction.
7347,We may with advantage at times forget what we know.
7470,"A little Learning is a dang'rous Thing;Drink deep, or taste not the Pierian Spring:There shallow Draughts intoxicate the Brain,And drinking largely sobers us again."
7488,"Know, sense, like charity, begins at home."
7800,"Knowledge is not happiness, and science But an exchange of ignorance for that Which is another kind of ignorance."
8173,"A reasoning, self-sufficing thing, An intellectual All-in-all!"
8202,"More skillful in self-knowledge, even more pure, As tempted more; more able to endure, As more exposed to suffering and distress."
8323,"Take comfort, and recollect however little you and I may know, God knows; He knows Himself and you and me and all things; and His mercy is over all His works."
8339,"What is all Knowledge too but recorded Experience, and a product of History; of which, therefore, Reasoning and Belief, no less than Action and Passion, are essential materials?"
8359,"What is all Knowledge too, but recorded Experience, and a product of History; of which, therefore, Reasoning and Belief, no less than Action and Passion, are essential materials."
8395,"That there should one Man die ignorant who had capacity for Knowledge, this I call a tragedy."
8643,The land of scholars and the nurse of arms.
8771,"Discretion has been termed the better part of valour, and it is more certain, that diffidence is the better part of knowledge."
8777,"That writer does the most, who gives his reader the most knowledge, and takes from him the least time."
8910,"Much learning shows how little mortals know;Much wealth, how little worldlings can enjoy."
8968,"Every man should kno sumthing ov law--if he knows enuff tew keep out ov it, he iz a prety good lawyer."
9027,Pedantry is properly the over-rating of any kind of knowledge we pretend to.
9040,"Books, the children of the brain."
9070,As learned commentators viewIn Homer more than Homer knew.
9161,"Knowledge is, indeed, that which, next to virtue, truly and essentially raises one man above another."
9345,"But Knowledge to their eyes her ample page Rich with the spoils of time did ne'er unroll; Chill Penury repressed their noble rage, And froze the genial current of the soul."
9403,"Man dwells apart, though not alone,He walks among his peers unread;The best of thoughts which he hath known,For lack of listeners are not said."
9417,ne must have a certain amount of both intelligence and knowledge to be amazed even at the most extraordinary things.
9458,A circulating library in a town is as an evergreen tree of diabolical knowledge.
9912,"A woman especially, if she has the misfortune of knowing anything, should conceal it as well as she can."
10142,I know monks masturbate at night That pet cats screw That some girls bite And yet What can I do To set things right?
10160,You see it's awfully hard to talk or write about your own stuff because if it is any good you yourself know about how good it is — but if you say so yourself you feel like a shit.
10203,Personal columnists ... are jackals and no jackal has been known to live on grass once he had learned about meat — no matter who killed the meat for him.
10453,"Reason, or the ratio of all we have already known, is not the same that it shall be when we know more."
10454,The true method of knowledge is experiment.
10483,To Generalize is to be an Idiot. To Particularize is the Alone Distinction of Merit — General Knowledges are those Knowledges that Idiots possess.
10619,"So, on beyond Z! It's high time you were shown That you really don't know All there is to be known."
10634,"The more that you read, The more things you will know. The more that you learn, The more places you'll go."
10868,It is sometimes difficult to avoid the impression that there is a sort of foreknowledge of the coming series of events.
11039,"Like all those possessing a library, Aurelian was aware that he was guilty of not knowing his in its entirety."
11089,"To know what you prefer, instead of humbly saying Amen to what the world tells you you ought to prefer, is to have kept your soul alive."
11230,Eternal vigilance is the price of knowledge.
11444,"Reason, that which we call reason, reflex and reflective knowledge, the distinguishing mark of man, is a social product."
11451,"To know something is to make this something that I know myself; but to avail myself of it, to dominate it, it has to remain distinct from myself."
11698,Would you trust the linguistic intuitions of someone who has been studying Latin or Greek for three days?
11825,Nothing is finer for the purposes of great productions than a very gradual ripening of the intellectual powers.
11871,Knowledge enormous makes a God of me.
12134,"How pleasant to know Mr. Lear!Who has written such volumes of stuff!Some think him ill-tempered and queer,But a few think him pleasant enough."
12441,"Knowledge is the plague of life, and consciousness, an open wound in its heart."
12450,"To tell the truth, I couldn't care less about the relativity of knowledge, simply because the world does not deserve to be known."
12630,"Knowledge, having irritated and stimulated our appetite for power, will lead us inexorably to our ruin."
12753,"Consciousness is much more than the thorn, it is the dagger in the flesh."
12862,What I know wreaks havoc upon what I want.
